"name","numfire_dkcost","cbs_fpts","espn_fpts","ffs_fpts","fftoday_fpts","fp_fpts","numfire_fpts","fft_fpts","hodges.lehmann","mean","risk","rank","best","worst","avg","sd","Ceiling","Floor","Tier"
"Rob Gronkowski",8100,19.36,19.21,17.74,NA,12.15,17.335,NA,17.7,17.2,2.6,1,1,5,1.4,1.1,19.8,14.6,1
"Antonio Gates",5000,9.79,9.78,14.87,NA,10.03,9.21,NA,9.9,10.6,2.1,2,1,5,2.2,1,12.7,8.5,1
"Greg Olsen",6100,9.82,10.6,10.51,NA,10.99,9.756,NA,10.4,10.3,0.5,3,2,7,4.1,1.7,10.8,9.8,1
"Travis Kelce",4900,9.98,10.34,8.67,NA,10.27,9.792,NA,10,9.8,0.6,4,2,16,5.6,3,10.4,9.2,1
"Jimmy Graham",5400,14.03,7.49,7.81,NA,9.38,10.35,NA,9.4,9.7,2.4,5,2,7,4.4,1.5,12.1,7.3,1
"Charles Clay",4300,7.21,8.9,7.02,NA,10.88,11.808,NA,9,9.1,1.9,6,4,12,8.1,2.4,11,7.2,1
"Gary Barnidge",4900,7.64,7.89,8.49,NA,8.78,8.376,NA,8.2,8.2,0.4,7,2,11,6.2,2.6,8.6,7.8,2
"Julius Thomas",4500,10.84,7.92,3.88,NA,9.1,9.156,NA,8.5,8.2,2.3,8,4,13,7.5,2.5,10.5,5.9,2
"Delanie Walker",3900,5.99,7.97,9.37,NA,8.56,7.393,NA,8,7.9,1.1,9,6,18,10.4,3.1,9,6.8,2
"Larry Donnell",3300,6.35,8.39,6.41,NA,7.55,7.81,NA,7.4,7.3,0.8,10,11,22,16.1,2.9,8.1,6.5,2
"Zach Ertz",3200,6.03,7.67,7.93,NA,6.54,7.448,NA,7.1,7.1,0.7,11,12,22,16.6,2.2,7.8,6.4,2
"Jordan Cameron",3300,5.83,7.26,8.18,NA,7.17,6.734,NA,7,7,0.8,12,6,16,12.7,2.3,7.8,6.2,2
"Crockett Gillmore",2500,12.12,6.82,4.87,NA,5.53,4.684,NA,5.8,6.6,2.8,13,13,21,15.8,1.9,9.4,3.8,2
"Coby Fleener",3000,6.34,5.54,6.64,NA,6.32,7.834,NA,6.5,6.5,0.7,14,14,23,19.1,2.4,7.2,5.8,2
"Benjamin Watson",3300,5.94,6.92,NA,NA,6.38,6.3,NA,6.4,6.4,0.4,15,7,24,14.4,4.3,6.8,6,2
"Heath Miller",2700,5.38,5.65,7.06,NA,6,7.203,NA,6.3,6.3,0.7,16,15,27,22.1,2.7,7,5.6,2
"Jacob Tamme",2900,5.65,6.14,8.4,NA,5.92,5.733,NA,5.9,6.3,1,17,7,17,10.7,2.9,7.3,5.3,2
"Kyle Rudolph",3100,6.27,7.85,5.01,NA,6.26,5.992,NA,6.3,6.3,0.9,18,10,22,14.8,4.1,7.2,5.4,2
"Derek Carrier",2500,4.57,7.23,6.92,NA,5.45,5.036,NA,5.9,5.9,1.1,19,10,19,14.7,3.5,7,4.8,2
"Ladarius Green",2900,6.51,6.02,4.78,NA,5,5.119,NA,5.5,5.5,0.7,20,10,25,18.4,3.7,6.2,4.8,2
"Vernon Davis",3000,5.11,7.4,3.49,NA,5.74,4.616,NA,5.2,5.3,1.3,21,19,25,22.1,2.2,6.6,4,2
"Dwayne Allen",2700,4.17,5.01,5.7,NA,4.35,4.606,NA,4.7,4.8,0.5,22,15,29,21.3,3.4,5.3,4.3,3
"Josh Hill",2500,5.94,2.84,NA,NA,3.56,2.803,NA,3.4,3.7,1.3,23,27,29,28,0.7,5,2.4,3
"Scott Chandler",2500,3.86,4.09,2.81,NA,3.48,3.412,NA,3.5,3.5,0.4,24,22,33,26.6,3.8,3.9,3.1,3
"Brent Celek",2500,4.06,2.1,4.33,NA,2.39,2.969,NA,3.2,3.2,0.9,25,20,24,22,1.4,4.1,2.3,3
"Dion Sims",2500,2.95,2.78,2.75,NA,3,2.873,NA,2.9,2.9,0.1,26,21,37,29.6,5.1,3,2.8,3
"Maxx Williams",2600,2.17,2.58,2.96,NA,3.19,2.789,NA,2.8,2.7,0.3,27,24,31,26.5,2.7,3,2.4,3
