"name","cbs_fpts","espn_fpts","ffs_fpts","fp_fpts","fft_fpts","numfire_fpts","mean","risk","Ceiling","Floor","Tier","rank"
"Jamaal Charles",14.69,NA,21,NA,NA,17.35,17.7,3.2,20.9,14.5,7,1
"Le'Veon Bell",13.81,14,25,17.8,NA,17.2,17.6,4.5,22.1,13.1,7,2
"Matt Forte",14.3,15.7,15,14.6,NA,14.21,14.8,0.6,15.4,14.2,7,3
"Devonta Freeman",12.81,16,17,14.7,NA,11.43,14.4,2.3,16.7,12.1,7,4
"Arian Foster",14.11,12.4,11,13.5,NA,12.51,12.7,1.2,13.9,11.5,7,5
"Joseph Randle",12.99,11.6,17,10.8,NA,10.47,12.6,2.7,15.3,9.9,7,6
"Mark Ingram",11.1,11,19,10.9,NA,9.41,12.3,3.8,16.1,8.5,6,7
"Todd Gurley",7.01,6.5,26,11.1,NA,10.77,12.3,8,20.3,4.3,4,8
"Latavius Murray",14.7,13.1,12,11.3,NA,9.05,12,2.1,14.1,9.9,7,9
"Adrian Peterson",12.14,11.7,NA,NA,NA,NA,11.9,0.3,12.2,11.6,7,10
"Eddie Lacy",12.76,13.1,9,13.4,NA,11.17,11.9,1.8,13.7,10.1,7,11
"Justin Forsett",9.7,10.5,12,13.4,NA,11.75,11.5,1.4,12.9,10.1,7,12
"DeMarco Murray",9.08,9,19,10.3,NA,9.53,11.4,4.3,15.7,7.1,5,13
"Jeremy Hill",12.18,10.4,12,7.5,NA,9.54,10.3,1.9,12.2,8.4,6,14
"Carlos Hyde",11.84,11.8,8,9.3,NA,9.96,10.2,1.7,11.9,8.5,6,15
"T.J. Yeldon",11.15,9.5,9,11.4,NA,9.08,10,1.2,11.2,8.8,7,16
"Ameer Abdullah",12.22,8,12,9,NA,8.11,9.9,2.1,12,7.8,5,17
"Melvin Gordon",10.68,11.9,9,9,NA,8.85,9.9,1.4,11.3,8.5,6,18
"C.J. Anderson",11.22,9.9,12,7.5,NA,6.85,9.5,2.3,11.8,7.2,5,19
"Doug Martin",7.62,7.7,10,10.4,NA,10.09,9.2,1.4,10.6,7.8,5,20
"Frank Gore",8.52,11.3,7,10.3,NA,9.03,9.2,1.7,10.9,7.5,5,21
"Giovani Bernard",11.04,8.6,10,8.3,NA,8.21,9.2,1.2,10.4,8,5,22
"Chris Johnson",10.07,8.4,7,10,NA,9.15,8.9,1.3,10.2,7.6,5,23
"Chris Ivory",9.71,7.2,NA,NA,NA,NA,8.5,1.8,10.3,6.7,5,24
"Lamar Miller",7.74,9.3,NA,NA,NA,NA,8.5,1.1,9.6,7.4,5,25
"Danny Woodhead",6.43,8.3,9,8.5,NA,9.75,8.4,1.2,9.6,7.2,5,26
"Thomas Rawls",12.47,7.5,3,10.3,NA,8.9,8.4,3.5,11.9,4.9,4,27
"Matt Jones",6.93,8.4,7,8.4,NA,8.98,7.9,0.9,8.8,7,5,28
"Alfred Morris",7.51,5.8,10,7.6,NA,8.1,7.8,1.5,9.3,6.3,5,29
"Isaiah Crowell",8.5,8.3,6,7.6,NA,8.2,7.7,1,8.7,6.7,5,30
"Darren Sproles",7.61,5.3,7,8.3,NA,8.41,7.3,1.3,8.6,6,5,31
"Ryan Mathews",13.8,5.2,5,5.6,NA,6.54,7.2,3.7,10.9,3.5,3,32
"Duke Johnson",6.94,NA,11,6.2,NA,4.12,7.1,2.9,10,4.2,4,33
"Jonathan Stewart",3.97,10.3,NA,NA,NA,NA,7.1,4.5,11.6,2.6,2,34
"Ronnie Hillman",7.56,6.2,7,8.9,NA,5.92,7.1,1.2,8.3,5.9,5,35
"Anthony Dixon",6.39,NA,7,7.7,NA,7.11,7,0.5,7.5,6.5,5,36
"Bilal Powell",6.94,6.7,NA,NA,NA,NA,6.8,0.2,7,6.6,5,37
"Rashad Jennings",7.52,5.6,5,7.7,NA,8.03,6.8,1.4,8.2,5.4,4,38
"Andre Ellington",7.18,4.3,9,5.4,NA,5.19,6.2,1.9,8.1,4.3,4,39
"Shane Vereen",5.88,5.5,8,5.9,NA,5.73,6.2,1,7.2,5.2,4,40
"C.J. Spiller",5.21,6.6,6,6.1,NA,6.16,6,0.5,6.5,5.5,4,41
"Charles Sims",7.05,4.8,7,5.4,NA,4.3,5.7,1.3,7,4.4,4,42
"Alfred Blue",5.96,5.6,5,5,NA,5.91,5.5,0.5,6,5,4,43
"Theo Riddick",5.93,3.8,9,4.7,NA,3.88,5.5,2.2,7.7,3.3,3,44
"Andre Williams",4.83,3,5,5.6,NA,8.14,5.3,1.9,7.2,3.4,3,45
"Darren McFadden",4.86,4.2,5,5.5,NA,6.14,5.1,0.7,5.8,4.4,4,46
"David Johnson",6.19,5.7,6,4,NA,3.35,5,1.3,6.3,3.7,4,47
"Fred Jackson",4.69,3.2,7,4.3,NA,3.87,4.6,1.4,6,3.2,3,48
"Reggie Bush",5.61,5.1,5,3.8,NA,2.94,4.5,1.1,5.6,3.4,3,49
"James Starks",4.96,2.8,4,4.8,NA,5.34,4.4,1,5.4,3.4,3,50
"Jeremy Langford",4.49,NA,NA,NA,NA,4.37,4.4,0.1,4.5,4.3,4,51
"Tre Mason",6.49,4.8,5,2,NA,3.03,4.3,1.8,6.1,2.5,2,52
"Khiry Robinson",5.45,2.1,6,3,NA,NA,4.1,1.9,6,2.2,1,53
"Marcel Reece",4.91,NA,5,2.3,NA,NA,4.1,1.5,5.6,2.6,2,54
"Knile Davis",5.59,2.2,4,2.8,NA,5.43,4,1.5,5.5,2.5,2,55
"DeAngelo Williams",2.71,2.6,6,2.6,NA,5.54,3.9,1.7,5.6,2.2,1,56
