"name","cbs_fpts","espn_fpts","ffs_fpts","fp_fpts","numfire_fpts","hodges.lehmann","mean","risk","Ceiling","Floor","Tier","rank"
"Julio Jones",18.4,12.5,16,15.7,15.64,15.7,15.7,1.9,17.6,13.8,7,1
"Demaryius Thomas",13.6,11.6,22,13.8,15.73,14.665,15.2,3.6,18.8,11.6,6,2
"Odell Beckham",13.68,11.6,23,13.6,12.04,13.6,14.6,4.2,18.8,10.4,6,3
"Randall Cobb",13.05,11.6,18,12.7,12.39,12.72,13.4,2.3,15.7,11.1,6,4
"Antonio Brown",10.82,10.2,22,11.9,11.47,11.47,13,4.5,17.5,8.5,5,5
"Emmanuel Sanders",12,11.1,20,11,12.02,12,13,3.5,16.5,9.5,6,6
"Calvin Johnson",9.57,12.6,20,11.6,11.07,11.835,12.8,3.7,16.5,9.1,6,7
"Keenan Allen",12.1,9.7,19,11.9,11.45,11.9,12.7,3.2,15.9,9.5,6,8
"DeAndre Hopkins",11.26,11.9,15,12.6,12.49,12.49,12.6,1.3,13.9,11.3,6,9
"Julian Edelman",11.08,10.5,17,12.2,11.32,11.64,12.3,2.4,14.7,9.9,6,10
"A.J. Green",10.97,9.3,19,11.3,11.36,11.3,12.2,3.4,15.6,8.8,5,11
"Jeremy Maclin",11.91,9.4,15,10.2,12.24,11.91,11.8,1.9,13.7,9.9,6,12
"Larry Fitzgerald",10.64,9.5,20,11.1,9.01,10.64,11.8,4.1,15.9,7.7,5,13
"Jordan Matthews",9.87,8,18,10.3,8.68,9.87,10.8,3.6,14.4,7.2,5,14
"T.Y. Hilton",8.46,7.9,13,9.8,8.9,9.13,9.5,1.8,11.3,7.7,5,15
"Terrance Williams",8.7,7.3,15,9.1,7.66,8.7,9.4,2.8,12.2,6.6,5,16
"Allen Robinson",8.42,8,12,9.5,7.64,8.75,9.1,1.6,10.7,7.5,5,17
"James Jones",10.78,7.7,9,9.9,8.01,9,9.1,1.2,10.3,7.9,5,18
"Mike Evans",9.77,8.1,10,9.9,7.95,9,9.1,0.9,10,8.2,5,19
"Amari Cooper",8.17,8,10,9.7,8.4,8.935,8.9,0.8,9.7,8.1,5,20
"Vincent Jackson",9.1,7.8,12,9,6.7,9,8.9,1.8,10.7,7.1,5,21
"Kamar Aiken",7.42,6,18,6.9,7.39,7.39,8.8,4.5,13.3,4.3,3,22
"Pierre Garcon",9.49,8,8,9.7,8.03,8.74500808883123,8.7,0.8,9.5,7.9,5,23
"Leonard Hankerson",9.26,7.2,11,8.5,7,8.5,8.6,1.5,10.1,7.1,5,24
"Brandin Cooks",7.1,7.5,11,8.9,7.09,8,8.3,1.5,9.8,6.8,5,25
"Golden Tate",6.85,7.7,11,8.6,7.71,8.15,8.3,1.4,9.7,6.9,5,26
"Travis Benjamin",7.9,6.5,10,8.5,7.19,7.9,8,1.2,9.2,6.8,5,27
"Donte Moncrief",7.23,6.9,13,7,6.29,7.065,7.9,2.5,10.4,5.4,5,28
"Kendall Wright",6.58,7.8,12,7.3,6.44,7.3,7.9,2.1,10,5.8,5,29
"Anquan Boldin",7.07,6,11,8.1,6.89,7.495,7.8,1.7,9.5,6.1,5,30
"John Brown",6.59,7.2,10,8.5,6.87,7.685,7.8,1.3,9.1,6.5,5,31
"Allen Hurns",9.36,5.5,9,7.3,7.59,7.59,7.7,1.4,9.1,6.3,5,32
"Doug Baldwin",6.64,6.1,11,7.3,5.62,6.7,7.2,1.9,9.1,5.3,4,33
"Percy Harvin",6.67,6.1,7,8.5,7.54,7.105,7.2,0.8,8,6.4,5,34
"Rueben Randle",8.57,7.1,10,7.6,2.42,7.6,7.2,2.6,9.8,4.6,3,35
"Kenny Britt",5.56,5.4,8,7.3,7.34,6.7,6.7,1,7.7,5.7,5,36
"Torrey Smith",5.23,4.9,14,5.6,5.12,5.36,6.7,3.6,10.3,3.1,3,37
"Willie Snead",7.05,6.2,11,6,3.6,6.525,6.7,2.4,9.1,4.3,3,38
"Michael Crabtree",5.05,7.1,8,6.7,6.24,6.67,6.6,1,7.6,5.6,5,39
"Marquess Wilson",6.12,6.7,5,6.3,7.42,6.3,6.3,0.8,7.1,5.5,5,40
