"name","cbs_team","cbs_recpts","cbs_yd","cbs_avg","cbs_td","cbs_fl","cbs_fpts","espn_team","espn_recpts","espn_yd","espn_td","espn_fpts","fftoday_team","fft_recpts","fft_yd","fft_td","fft_fpts","ffs_team","ffs_recpts","ffs_yd","ffs_td","ffs_fpts"
"Kenny Britt","STL",3.9,60,15.3,0.4,0,8.4," STL",2.9,43.9,0.3,5.7,"STL",6,65,1,12.5,"STL",3.53,57,0.3,6
"Kenny Stills","MIA",2.1,27.8,13.1,0.1,0,3.38," MIA",1.6,23.6,0.1,2.6,"MIA",3,30,0,3,"MIA",3.29,40,0.12,4
"Larry Fitzgerald","ARI",4.9,71.8,14.6,0.6,0,10.78," ARI",5.4,68.7,0.5,9,"ARI",7,80,1,14,"ARI",5.14,65,0.41,7
"Leonard Hankerson","ATL",4.2,45.1,10.8,0.3,0,6.31," ATL",3.5,43.6,0.2,5.4,"ATL",3,35,0,3.5,"ATL",2.46,26,0.2,3
"Louis Murphy","TB",2.6,36.9,14.2,0.1,0,4.29," TB ",1.9,27.5,0.2,2.9,"TB",2,30,0,3,"TBB",1.69,27,0.07,3
"Malcom Floyd","SD",3,48,16.3,0.3,0,6.6," SD ",3,52.2,0.3,6.9,"SD",4,40,0,4,"SDC",2.67,45,0.33,5
"Markus Wheaton","PIT",4,53.7,13.4,0.2,0,6.57," PIT",3.6,52.5,0.2,6.4,"PIT",4,55,0,5.5,"PIT",3.11,44,0.12,5
"Marlon Brown","BAL",2,21.8,10.9,0.1,0,2.78," BAL",2.5,31.8,0.2,4.3,"BAL",2,25,0,2.5,"BAL",2.13,21,0.05,2
"Marques Colston","NO",3.9,49.9,12.9,0.2,0,6.19," NO ",3.3,42.1,0.2,5.3,"NO",3,40,0,4,"NOS",3.38,47,0.17,5
"Marquess Wilson","CHI",3.5,37.8,10.9,0.1,0,4.38," CHI",2.8,35.2,0.2,3.9,"CHI",2,30,0,3,"CHI",2.15,22,0.12,2
"Marvin Jones","CIN",2.3,30.4,13.1,0.3,0,4.84," CIN",3,39.8,0.2,4.2,"CIN",4,45,0,4.5,"CIN",3,41,0.44,4
"Michael Crabtree","OAK",3.8,32.2,8.4,0.1,0,3.82," OAK",4.7,55.9,0.3,6.9,"OAK",5,55,0,5.5,"OAK",4.31,44,0.24,4
"Michael Floyd","ARI",2.8,46.9,16.8,0.4,0.1,6.89," ARI",2.8,40.1,0.3,5.9,"ARI",3,35,0,3.5,"ARI",2.2,35,0.22,4
"Mike Evans","TB",5.2,77,14.8,0.6,0,11.3," TB ",4.8,71.3,0.4,9.3,"TB",5,70,1,13,"TBB",3.49,52,0.51,11
"Mike Wallace","MIN",3.7,56,15.1,0.4,0,8," MIN",3.5,53,0.3,6.8,"MIN",4,65,1,12.5,"MIN",3.71,46,0.34,5
"Miles Austin","PHI",1.8,24,13.1,0.1,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHI",1.62,19,0.03,2
"Mohamed Sanu","CIN",2.1,25.6,12.4,0.1,0,3.16," CIN",1.5,16.9,0.1,1.7,"CIN",3,30,0,3,"CIN",2.89,42,0.19,5
"Nate Washington","HOU",3,42.8,14.2,0.2,0,5.48," HOU",3.3,51.3,0.3,6.8,"HOU",5,65,1,12.5,"HOU",3,54,0.11,5
"Nelson Agholor","PHI",2.4,37.2,15.6,0.2,0.1,4.72," PHI",3.1,35.2,0.2,4.3,"PHI",3,35,0,3.5,"PHI",2.84,37,0.11,4
"Odell Beckham","NYG",7,98.4,14.1,1,0.1,15.64," NYG",6.5,86.4,0.5,11,"NYG",8,105,1,16.5,"NYG",7.81,113,0.86,17
"Percy Harvin","BUF",5,54.1,10.8,0.3,0.1,7.01," BUF",3.5,39.5,0.2,4.2,NA,NA,NA,NA,NA,"BUF",2.9,27,0.06,4
"Phillip Dorsett","IND",2.3,35.3,15.3,0.2,0.1,4.53," IND",1.5,21.7,0.2,3.1,"IND",3,30,0,3,"IND",0.81,16,0.02,2
"Pierre Garcon","WAS",4.7,52.9,11.4,0.2,0,6.49," WSH",5,63.2,0.3,7.5,"WAS",6,65,0,6.5,"WAS",4.63,50,0.2,5
"Quincy Enunwa","NYJ",2,33,16.3,0.2,0,4.5," NYJ",3.2,38.1,0.3,4.5,"NYJ",2,30,0,3,"NYJ",3.1,42,0.32,4
"Quinton Patton","SF",1.6,15.9,10.3,0.1,0.1,1.99," SF ",1.6,20,0.1,2.3,"SF",2,20,0,2,"SFO",1.17,10,0,1
"Randall Cobb","GB",5.7,83.2,14.6,0.7,0.1,12.32," GB ",6.1,82.7,0.6,11.4,"GB",6,85,1,14.5,"GBP",6.02,81,0.73,14
"Riley Cooper","PHI",1.6,21.6,13.5,0.1,0.1,2.56," PHI",1.2,15.8,0.1,1.5,"PHI",1,15,0,1.5,"PHI",3.02,32,0.21,3
"Rishard Matthews","MIA",2.6,33,12.8,0.5,0,6.3," MIA",3.9,48.2,0.3,5.5,"MIA",4,45,0,4.5,"MIA",2.21,31,0.24,3
"Robert Woods","BUF",2.7,34.7,12.9,0.2,0.1,4.47," BUF",2,26.2,0.1,2.8,"BUF",2,30,0,3,"BUF",3.85,47,0.36,5
"Rod Streater","OAK",2,23.7,12.1,0.1,0,2.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Roddy White","ATL",5.5,65.7,11.9,0.3,0.2,7.97," ATL",4.2,52.6,0.3,6.7,"ATL",5,55,0,5.5,"ATL",5.1,55,0.37,6
"Rueben Randle","NYG",4,59.9,14.8,0.4,0,8.39," NYG",3.6,50.9,0.3,6.7,"NYG",4,50,0,5,"NYG",4.28,59,0.16,6
