"name","cbs_team","cbs_recpts","cbs_yd","cbs_td","cbs_fl","cbs_fpts","espn_team","espn_recpts","espn_yd","espn_td","espn_fpts","ffs_team","ffs_recpts","ffs_yd","ffs_td","ffs_fpts","fp_team","fp_rushatt","fp_rushyd","fp_rushtd","fp_recpts","fp_recyd","fp_rectd","fp_fl","fp_fpts","numfire_team","numfire_rank","numfire_rushatt","numfire_rushyd","numfire_rushtd","numfire_recpts","numfire_recyd","numfire_rectd","numfire_fpts"
"Kamar Aiken","BAL",3,38.9,0.2,0.1,4.89," BAL",2.9,41.5,0.3,5.5,"BAL",3.74,51,0.29,5,"BAL",0,0,0,3,39.2,0.2,"0.1",5.2,"BAL","41",0,0,0,3.33,40.81,0.31,5.93
"Keenan Allen","SD",5.9,72.1,0.4,0.2,9.21," SD ",6,82.4,0.5,10.7,"SD",5.54,66,0.47,7," SD",0,0,0,6.1,76,0.4,"0.1",10,"SD","10",0,0,0,6.4,76.42,0.41,10.15
"Kendall Wright","TEN",3.9,53.8,0.3,0,7.18," TEN",4.8,52.7,0.3,6.9,"TEN",4.35,58,0.3,6,"TEN",0.2,1.3,0,4.4,53.6,0.3,"0.0",7.5,"TEN","28",0.16,0.99,0,4.12,55.9,0.36,7.8
"Kenny Stills","MIA",1.9,28.7,0.1,0,3.47," MIA",1.8,24.1,0.1,2.8,"MIA",3.58,43,0.17,4,"MIA",0,0,0,1.9,26.5,0.1,"0.0",3.4,"MIA","59",0.01,0.03,0,2,29.28,0.21,4.18
"Larry Fitzgerald","ARI",6.2,79.5,0.7,0.2,11.75," ARI",6,73.7,0.6,10.4,"ARI",5.2,71,0.6,13,"ARI",0,0,0,5.9,74,0.5,"0.1",10.4,"ARI","12",0,0,0,6.13,73.04,0.42,9.77
"Leonard Hankerson","ATL",3.9,55,0.5,0,8.5," ATL",3.9,48.7,0.4,6.2,"ATL",2.24,29,0.2,3,"ATL",0,0,0,3.8,53.3,0.4,"0.0",7.8,"ATL","22",0,0,0,3.45,56.35,0.44,8.25
"Malcom Floyd","SD",1.9,36.6,0.1,0,4.26," SD ",2.7,47,0.3,6,"SD",2.61,44,0.24,4," SD",0,0,0,2.4,39.8,0.2,"0.0",5.2,"SD","49",0,0,0,2.32,34.43,0.24,4.86
"Markus Wheaton","PIT",1.6,26.4,0.1,0,3.24," PIT",1.7,23.9,0.1,2.6,"PIT",2.67,42,0.17,4,"PIT",0.1,0.2,0,2,29.1,0.1,"0.0",3.7,"PIT","46",0.01,-0.12,0,2.5,39.27,0.23,5.27
"Marlon Brown","BAL",1.9,19.8,0.1,0,2.58," BAL",2.3,30.3,0.2,4.1,"BAL",2.71,30,0.02,3,"BAL",0,0,0,2,24.4,0.1,"0.0",3.2,"BAL","76",0,0,0,1.61,20.72,0.11,2.76
"Marqise Lee","JAC",2.5,28.3,0.1,0,3.43," JAX",3,36.3,0.2,4.4,"JAC",1.88,24,0.03,3,"JAC",0.2,0.9,0,2.4,28,0.1,"0.0",3.7,"JAC","79",0.07,0.09,0,1.77,19.63,0.12,2.69
"Marquess Wilson","CHI",2.8,37.3,0.2,0,4.93," CHI",2.7,34.1,0.2,4.3,"CHI",4,45,0.26,5,"CHI",0,0,0,2.8,36.3,0.2,"0.0",5,"CHI","37",0,0,0,3.2,46.37,0.31,6.44
"Martavis Bryant","PIT",1.7,30.3,0.4,0,5.43," PIT",2.8,42.7,0.3,5.9,"PIT",1.77,30,0.26,3,"PIT",0.1,0.5,0,2.6,39.4,0.3,"0.0",5.9,"PIT","36",0.02,-0.1,0,3.34,49.49,0.28,6.52
"Marvin Jones","CIN",3.1,39.5,0.3,0,5.75," CIN",3.4,45.4,0.2,5.5,"CIN",2.56,36,0.32,4,"CIN",0.2,1.1,0,3.3,44.9,0.3,"0.0",6.4,"CIN","39",0.15,0.82,0,3.1,44.17,0.27,6.04
"Michael Floyd","ARI",3.2,48,0.2,0,6," ARI",3,42.1,0.3,5.9,"ARI",2.14,32,0.15,3,"ARI",0,0,0,2.7,39.6,0.2,"0.0",5.3,"ARI","72",0.01,0.04,0,1.64,23.12,0.1,2.91
"Mike Wallace","MIN",4,57.1,0.5,0,8.71," MIN",3.7,56.4,0.3,6.7,"MIN",4.26,54,0.35,6,"MIN",0,0.1,0,3.8,54.5,0.3,"0.0",7.3,"MIN","42",0.03,0.27,0,3.76,50.1,0.14,5.88
"Mohamed Sanu","CIN",2.9,36.9,0.1,0,4.29," CIN",2.7,31.5,0.2,4.3,"CIN",3.16,48,0.14,5,"CIN",0.2,1,0,2.6,33.2,0.2,"0.0",4.3,"CIN","61",0.02,0.15,0,2.07,29.54,0.11,3.64
"Odell Beckham","NYG",5.5,74.2,0.5,0.1,10.22," NYG",7.4,97.5,0.4,11.4,"NYG",5.81,81,0.62,14,"NYG",0.3,2,0,6.1,85,0.5,"0.1",11.8,"NYG","5",0.14,0.63,0,5.48,81.24,0.54,11.27
"Percy Harvin","BUF",3.7,35.3,0.2,0.1,4.53," BUF",3.7,41.6,0.2,5.4,"BUF",3.53,43,0.19,5,"BUF",0.8,4.6,0,3.6,38.7,0.2,"0.1",5.5,"BUF","53",0.25,1.02,0,3.37,36.72,0.17,4.77
"Pierre Garcon","WAS",4.7,52.2,0.3,0,7.02," WSH",4.7,59.5,0.2,6,"WAS",3.92,46,0.27,5,"WAS",0,0,0,4.7,55.5,0.3,"0.0",7.2,"WSH","40",0,0,0,4.39,47.71,0.21,5.99
"Randall Cobb","GB",5.8,76.4,0.8,0.1,12.24," GB ",5.9,79.7,0.7,11.2,"GB",4.29,56,0.59,12," GB",0.4,2,0,5.8,80.1,0.7,"0.1",12.1,"GB","2",0.2,0.51,0,6.35,89.23,0.67,12.98
"Riley Cooper","PHI",1.5,23.1,0.2,0,3.51," PHI",2.2,29.1,0.2,3.4,"PHI",3.25,37,0.24,4,"PHI",0,0,0,1.9,25.7,0.2,"0.0",3.8,"PHI","60",0,0,0,2.02,28.65,0.19,4.03
"Rishard Matthews","MIA",2.5,33.6,0.4,0,5.76," MIA",3.7,43.3,0.3,5.8,"MIA",2.27,36,0.37,4,"MIA",0,0,0,3,38.8,0.3,"0.0",5.7,"MIA","54",0.03,0.03,0,2.54,36.3,0.18,4.69
"Robert Woods","BUF",2.8,31.5,0.2,0.2,3.95," BUF",2,26.2,0.1,2.8,"BUF",3.4,37,0.19,4,"BUF",0,0,0,2.5,30.3,0.1,"0.1",3.7,"BUF","64",0,0,0,2.25,26.63,0.09,3.2
"Roddy White","ATL",3.7,50.1,0.2,0.1,6.01," ATL",2.7,33.5,0.2,4.3,"ATL",4.15,49,0.24,5,"ATL",0,0,0,2.9,38.2,0.2,"0.1",5,"ATL","48",0,0,0,2.61,35.97,0.25,5.05
"Rueben Randle","NYG",3.5,46.8,0.3,0,6.48," NYG",4.3,60.7,0.2,7.5,"NYG",4.64,62,0.3,6,"NYG",0,0,0,3.5,46.3,0.2,"0.0",6.1,"NYG","82",0,0,0,1.62,21.62,0.06,2.5
"Sammy Watkins","BUF",3.2,38,0.2,0.1,4.8," BUF",3.4,47.1,0.3,5.6,"BUF",2.9,43,0.3,4,"BUF",0.2,0.9,0,3.8,52.5,0.3,"0.1",6.8,"BUF","26",0,0,0,4.07,61.07,0.31,7.91
"T.Y. Hilton","IND",5.5,83.9,0.4,0,10.79," IND",5.7,78.8,0.5,10.1,"IND",5.52,85,0.2,9,"IND",0.1,0.8,0,5.3,75,0.4,"0.0",9.9,"IND","23",0.02,0,0,4.76,67.21,0.24,8.21
"Taylor Gabriel","CLE",2.2,26.6,0.1,0,3.26," CLE",1.6,21.5,0.1,2.5,"CLE",2.27,31,0.02,3,"CLE",0.1,0.4,0,2.2,27.6,0.1,"0.0",3.5,"CLE","78",0.04,0.06,0,1.97,20.97,0.1,2.7
"Torrey Smith","SF",1.9,46.6,0.4,0,7.06," SF ",2.7,44.8,0.2,5.1,"SFO",3.39,50,0.46,5," SF",0,0,0,2.6,45.8,0.3,"0.0",6.5,"SF","35",0,0,0,2.61,43.38,0.37,6.56
"Travis Benjamin","CLE",2.5,52.2,0.4,0.2,7.22," CLE",4,61.3,0.3,7.7,"CLE",3.84,61,0.5,12,"CLE",0,0,0,3.6,58.3,0.3,"0.1",7.6,"CLE","30",0.02,-0.1,0,3.6,58.79,0.29,7.57
"Tyler Lockett","SEA",2.1,28.8,0.2,0.1,3.88," SEA",2.4,33.5,0.1,4.1,"SEA",2.25,25,0,3,"SEA",0.2,1.8,0,2.1,28.1,0.1,"0.1",3.7,"SEA","80",0.09,0.55,0,1.6,21.12,0.07,2.57
"Willie Snead","NO",4.8,70.4,0.3,0.1,8.64," NO ",4.8,66.6,0.4,8.3,"NO",6,76,0.28,8," NO",0,0,0,4.7,64.5,0.3,"0.1",8.2,"NO","32",0,0,0,4.2,54.89,0.25,7.01
