"name","cbs_team","cbs_recpts","cbs_yd","cbs_td","cbs_fl","cbs_fpts","espn_team","espn_recpts","espn_yd","espn_td","espn_fpts","ffs_team","ffs_recpts","ffs_yd","ffs_td","ffs_fpts","fp_team","fp_rushatt","fp_rushyd","fp_rushtd","fp_recpts","fp_recyd","fp_rectd","fp_fl","fp_fpts","numfire_team","numfire_rank","numfire_rushatt","numfire_rushyd","numfire_rushtd","numfire_recpts","numfire_recyd","numfire_rectd","numfire_fpts"
"A.J. Green","CIN",5.5,86,0.7,0.1,12.6," CIN",5.5,78.3,0.5,10.2,"CIN",5.44,84,0.53,19,"CIN",0.1,0.7,0,5.9,77.8,0.6,"0.1",11.3,"CIN","10",0.02,0.07,0,6.16,82.53,0.52,11.36
"Allen Hurns","JAC",4.1,55.7,0.3,0.1,7.17," JAX",3.7,50.3,0.2,6.3,"JAC",3.88,51,0.31,9,"JAC",0,0,0,4.6,56.4,0.3,"0.1",7.3,"JAC","23",0,0,0,3.79,51.66,0.4,7.59
"Allen Robinson","JAC",5.2,70.5,0.4,0,9.45," JAX",4.3,60.4,0.3,7.5,"JAC",4.8,74,0.43,12,"JAC",0,0,0,4.8,66.6,0.5,"0.0",9.5,"JAC","22",0,0,0,4.15,62.3,0.24,7.64
"Amari Cooper","OAK",5.8,83.4,0.4,0.1,10.54," OAK",5.8,62.5,0.4,8.3,"OAK",4.29,57,0.35,10,"OAK",0.1,0.3,0,5.4,69,0.5,"0.1",9.7,"OAK","16",0,0,0,5.67,69,0.26,8.4
"Andre Johnson","IND",4.4,50.1,0.3,0.1,6.61," IND",2.9,32.1,0.3,4.5,"IND",2,21,0.11,4,"IND",0,0,0,1.9,23.6,0.1,"0.1",2.9,"IND","76",0,0,0,1.58,18.61,0.14,2.64
"Andrew Hawkins","CLE",3.3,43.6,0.1,0,4.96," CLE",3.6,37.4,0.1,3.8,"CLE",3.86,54,0.19,10,"CLE",0,0.1,0,2.7,30.1,0.1,"0.0",3.6,"CLE","75",0.04,0.23,0,1.81,21.82,0.09,2.72
"Anquan Boldin","SF",4,52.8,0.4,0,7.68," SF ",4.6,56.5,0.3,6.5,"SFO",4.74,57,0.29,11," SF",0,0,0,4.7,56.1,0.4,"0.0",8.1,"SF","31",0.02,0.02,0,4.47,52.12,0.28,6.89
"Antonio Brown","PIT",6.6,89.8,0.6,0.1,12.38," PIT",6.4,83,0.5,11.1,"PIT",6.95,94,0.56,22,"PIT",0.3,1.3,0,6.3,82.4,0.6,"0.1",11.9,"PIT","8",0.11,0.2,0,5.88,80.07,0.59,11.47
"Brandin Cooks","NO",6.3,76.3,0.3,0,9.43," NO ",4.7,64.4,0.3,8.1,"NO",4.84,55,0.2,11," NO",0.4,3.1,0,5.3,60.9,0.4,"0.0",8.9,"NO","29",0.11,1.97,0,4.57,51.12,0.31,7.09
"Brian Hartline","CLE",3.1,50.6,0.1,0,5.66," CLE",2.7,36.6,0.2,3.9,"CLE",2.36,33,0.1,5,"CLE",0,0,0,3,36.9,0.1,"0.0",4.2,"CLE","57",0,0,0,2.07,28.35,0.17,3.94
"Brian Quick","STL",1.8,27.3,0.2,0,3.93," STL",2.1,29.5,0.1,2.7,"STL",1.19,16,0.06,3,"STL",0,0,0,1.5,21.6,0.1,"0.0",2.9,"STL","55",0,0,0,2.28,30.07,0.19,4.09
"Calvin Johnson","DET",5.7,67.7,0.4,0,9.17," DET",5.3,74.6,0.4,9.5,"DET",5.82,80,0.51,20,"DET",0,0,0,5.9,80.9,0.6,"0.1",11.6,"DET","12",0,0,0,5.97,83.68,0.45,11.07
"Cole Beasley","DAL",3.8,43.3,0.2,0.2,5.13," DAL",2.6,26.6,0.1,2.9,"DAL",3.25,38,0.23,7,"DAL",0,0,0,3.8,42.6,0.2,"0.1",5.3,"DAL","52",0,0,0,3.15,33.17,0.21,4.5
"DeAndre Hopkins","HOU",6.2,85.7,0.5,0.1,11.37," HOU",5.3,76.1,0.4,9,"HOU",6.45,88,0.47,15,"HOU",0,0,0,6.9,91,0.6,"0.1",12.6,"HOU","3",0,0,0,6.41,94.95,0.5,12.49
"Demaryius Thomas","DEN",7.3,94.8,0.7,0.1,13.48," DEN",7.1,90.7,0.6,12.5,"DEN",6.58,86,0.58,22,"DEN",0,0,0,7.3,97.1,0.7,"0.1",13.8,"DEN","1",0,0,0,8.03,115.76,0.71,15.73
"Donte Moncrief","IND",3.3,39.2,0.5,0,6.92," IND",4.3,50.2,0.3,7.1,"IND",5.7,71,0.39,13,"IND",0.1,0.9,0,4.3,52.2,0.3,"0.0",7,"IND","36",0.03,0.02,0,3.32,42.29,0.34,6.29
"Doug Baldwin","SEA",4.2,55.4,0.4,0.1,7.74," SEA",3.9,52.5,0.3,6.7,"SEA",4.63,57,0.37,11,"SEA",0.1,0.4,0,4,49.2,0.4,"0.0",7.3,"SEA","41",0.05,0.27,0,3.79,44.69,0.18,5.62
"Emmanuel Sanders","DEN",6.5,77.3,0.7,0,11.93," DEN",6.3,88.3,0.5,10.9,"DEN",6.3,80,0.52,20,"DEN",0.4,2.4,0,5.8,78.9,0.5,"0.0",11,"DEN","7",0.08,0.84,0,5.11,79.27,0.68,12.02
"Golden Tate","DET",5.3,59.1,0.2,0,7.11," DET",4.6,55.3,0.2,6.2,"DET",4.86,61,0.15,11,"DET",0.3,1.2,0,4.6,59.7,0.4,"0.0",8.6,"DET","20",0.1,0.24,0,4.95,60.45,0.3,7.71
"James Jones","GB",4.5,61.9,0.6,0,9.79," GB ",4,59.1,0.5,8,"GB",3.72,51,0.49,9," GB",0,0,0,4.6,62,0.6,"0.1",9.9,"GB","18",0,0,0,4.87,57.62,0.37,8.01
