"name","cbs_fpts","espn_fpts","ffs_fpts","fp_fpts","fft_fpts","numfire_fpts","mean","risk","Ceiling","Floor","Tier","rank"
"Rob Gronkowski",12.51,11.2,13,11.7,NA,11.05,11.9,0.8,12.7,11.1,7,1
"Tyler Eifert",9.55,7.3,11,7.8,NA,6.24,8.4,1.9,10.3,6.5,6,2
"Antonio Gates",7.34,6.5,11,7.1,NA,7.61,7.9,1.8,9.7,6.1,6,3
"Travis Kelce",7.37,6.8,5,7.6,NA,7.99,7,1.2,8.2,5.8,6,4
"Martellus Bennett",6.73,7.1,5,7.4,NA,7.87,6.8,1.1,7.9,5.7,6,5
"Greg Olsen",6.82,6.5,6,7,NA,6.33,6.5,0.4,6.9,6.1,6,6
"Jimmy Graham",8.33,6.3,4,7.2,NA,5.95,6.4,1.6,8,4.8,5,7
"Julius Thomas",7.89,6.2,NA,6.3,NA,5.01,6.3,1.2,7.5,5.1,5,8
"Gary Barnidge",6.96,5.4,5,6,NA,5.29,5.7,0.8,6.5,4.9,5,9
"Kyle Rudolph",5.77,5.9,NA,5.6,NA,4.96,5.6,0.4,6,5.2,5,10
"Charles Clay",4.97,5.4,3,5.9,NA,6.04,5.1,1.2,6.3,3.9,4,11
"Delanie Walker",5.09,5.8,5,5.5,NA,4.18,5.1,0.6,5.7,4.5,5,12
"Crockett Gillmore",7.01,4.8,3,5.2,NA,4.37,4.9,1.5,6.4,3.4,4,13
"Jordan Cameron",3.82,5,5,5.4,NA,5.25,4.9,0.6,5.5,4.3,5,14
"Larry Donnell",4.35,5.8,3,5.2,NA,5.26,4.7,1.1,5.8,3.6,4,15
"Richard Rodgers",4.75,5.7,3,5.2,NA,4.26,4.6,1,5.6,3.6,4,16
"Zach Ertz",3.67,5.9,4,4.8,NA,4.83,4.6,0.9,5.5,3.7,4,17
"Coby Fleener",4.73,4.9,4,4.5,NA,4.25,4.5,0.4,4.9,4.1,4,18
"Owen Daniels",3.61,4.9,NA,4.6,NA,4.76,4.5,0.6,5.1,3.9,4,19
"Vernon Davis",5.27,4.4,NA,4.6,NA,3.09,4.3,0.9,5.2,3.4,4,20
"Darren Fells",5.24,NA,NA,3.7,NA,3.29,4.1,1,5.1,3.1,4,21
"Dwayne Allen",5.37,3.8,3,4.6,NA,3.6,4.1,0.9,5,3.2,4,22
"Jacob Tamme",3.65,4.2,4,4.3,NA,3.81,4,0.3,4.3,3.7,4,23
"Benjamin Watson",4.13,4.7,NA,3.9,NA,3.02,3.9,0.7,4.6,3.2,4,24
"Heath Miller",3.07,3.2,4,3.9,NA,4.63,3.8,0.6,4.4,3.2,4,25
"Ladarius Green",4.39,3,3,3.4,NA,2.62,3.3,0.7,4,2.6,2,26
"Derek Carrier",2.36,3.9,NA,2.9,NA,NA,3.1,0.8,3.9,2.3,2,27
"Garrett Graham",2.89,2.8,NA,2.9,NA,3.58,3,0.4,3.4,2.6,2,28
"Scott Chandler",2.65,3.3,NA,2.9,NA,2.78,2.9,0.3,3.2,2.6,2,29
"Anthony Fasano",2.85,2.1,NA,2.6,NA,2.84,2.6,0.4,3,2.2,2,30
"Brandon Pettigrew",2.31,NA,NA,2.3,NA,2.8,2.5,0.3,2.8,2.2,2,31
"Luke Willson",2.68,NA,NA,2.1,NA,NA,2.4,0.4,2.8,2,2,32
"James O'Shaughnessy",2.27,NA,NA,NA,NA,2.36,2.3,0.1,2.4,2.2,2,33
"Dion Sims",2.05,NA,NA,2.2,NA,2.33,2.2,0.1,2.3,2.1,2,34
"Jermaine Gresham",2.07,NA,NA,2,NA,NA,2,0,2,2,2,35
