"name","cbs_team","cbs_recpts","cbs_yd","cbs_td","cbs_fl","cbs_fpts","espn_team","espn_recpts","espn_yd","espn_td","espn_fpts","fft_team","fft_recpts","fft_yd","fft_td","fft_fpts","ffs_team","ffs_recpts","ffs_yd","ffs_td","ffs_fpts","fp_team","fp_recpts","fp_yd","fp_td","fp_fl","fp_fpts","numfire_team","numfire_recpts","numfire_yd","numfire_td","numfire_fpts"
"Jimmy Graham","SEA",3.2,47.3,0.6,0,8.33," SEA",3.4,40.9,0.4,6.3,NA,NA,NA,NA,NA,"SEA",3.81,40,0.4,4,"SEA",3.6,44.6,0.5,"0.0",7.2,"SEA",3.78,41.12,0.33,5.95
"Jordan Cameron","MIA",2.6,32.2,0.1,0,3.82," MIA",3.3,39.6,0.3,5,NA,NA,NA,NA,NA,"MIA",3.48,47,0.12,5,"MIA",3.4,39.7,0.2,"0.0",5.4,"MIA",3.48,39.07,0.23,5.25
"Josh Hill","NO",2.8,31.3,0.3,0,4.93," NO ",1.4,14.4,0.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," NO",1.7,18.8,0.2,"0.0",3.1,NA,NA,NA,NA,NA
"Julius Thomas","JAC",4.4,48.9,0.5,0,7.89," JAX",4.1,47.1,0.4,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JAC",3.5,40.1,0.4,"0.0",6.3,"JAC",2.37,30.49,0.34,5.01
"Kellen Davis","NYJ",2,22.6,0.2,0,3.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kyle Rudolph","MIN",2.8,27.7,0.5,0,5.77," MIN",4,42.6,0.3,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MIN",3.5,35.4,0.3,"0.0",5.6,"MIN",3.35,32.42,0.29,4.96
"Ladarius Green","SD",2.4,31.9,0.2,0,4.39," SD ",2,24.2,0.2,3,NA,NA,NA,NA,NA,"SD",2.08,27,0.2,3," SD",1.9,23.6,0.2,"0.0",3.4,"SD",1.45,16.17,0.17,2.62
"Larry Donnell","NYG",3.4,29.5,0.3,0.2,4.35," NYG",4.1,48,0.3,5.8,NA,NA,NA,NA,NA,"NYG",3.41,30,0.28,3,"NYG",3.7,38.1,0.3,"0.2",5.2,"NYG",3.87,40.95,0.21,5.26
"Luke Willson","SEA",1.6,20.8,0.1,0,2.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEA",1.4,16.1,0.1,"0.0",2.1,NA,NA,NA,NA,NA
"Marcedes Lewis","JAC",1.4,17.2,0.2,0.1,2.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Martellus Bennett","CHI",5.5,49.3,0.3,0,6.73," CHI",4.9,52.5,0.4,7.1,NA,NA,NA,NA,NA,"CHI",5.06,50,0.3,5,"CHI",5.2,52.6,0.4,"0.0",7.4,"CHI",5.72,57.94,0.33,7.87
"Nick Boyle","BAL",2.4,21.1,0.1,0,2.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Owen Daniels","DEN",2,18.1,0.3,0,3.61," DEN",2.8,31.2,0.3,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DEN",2.8,29.5,0.3,"0.0",4.6,"DEN",3.27,34.92,0.22,4.76
"Rhett Ellison","MIN",1.4,14.9,0.1,0,2.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Richard Rodgers","GB",3,29.5,0.3,0,4.75," GB ",2.9,32,0.5,5.7,NA,NA,NA,NA,NA,"GB",2.87,27,0.3,3," GB",3,32.7,0.3,"0.0",5.2,"GB",2.97,31.18,0.21,4.26
"Rob Gronkowski","NE",5,83.1,0.7,0,12.51," NE ",5.9,73.1,0.7,11.2,NA,NA,NA,NA,NA,"NEP",4.64,71,0.75,13," NE",5.6,75.4,0.7,"0.0",11.7,"NE",5.62,68.6,0.7,11.05
"Rob Housler","CLE",1.6,17.8,0.1,0,2.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scott Chandler","NE",1.8,20.5,0.1,0,2.65," NE ",2.1,25,0.2,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," NE",1.6,18.4,0.2,"0.0",2.9,"NE",1.32,17.09,0.18,2.78
"Timothy Wright","DET",2.4,28.6,0.4,0,5.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Travis Kelce","KC",4.6,53.7,0.4,0.2,7.37," KC ",5,53.3,0.3,6.8,NA,NA,NA,NA,NA,"KC",3.77,49,0.25,5," KC",4.7,54.4,0.4,"0.1",7.6,"KC",4.58,54.4,0.45,7.99
"Tyler Eifert","CIN",5.1,59.5,0.6,0,9.55," CIN",4.8,57.1,0.4,7.3,NA,NA,NA,NA,NA,"CIN",3.91,45,0.69,11,"CIN",4.5,51.3,0.4,"0.0",7.8,"CIN",3.85,41.32,0.37,6.24
"Vernon Davis","SF",2.2,28.7,0.4,0,5.27," SF ",3.1,39.9,0.2,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," SF",2.7,32.9,0.2,"0.0",4.6,"SF",2.4,28.14,0.05,3.09
"Virgil Green","DEN",2.1,21.4,0.2,0,3.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DEN",1.1,11.9,0.1,"0.0",2,"DEN",0.96,12.73,0.15,2.2
"Zach Ertz","PHI",2.4,30.7,0.1,0,3.67," PHI",3.4,42.7,0.3,5.9,NA,NA,NA,NA,NA,"PHI",3.63,43,0.21,4,"PHI",3.1,36.2,0.2,"0.0",4.8,"PHI",3.63,36.01,0.2,4.83
