"name","cbs_team","cbs_recpts","cbs_yd","cbs_td","cbs_fl","cbs_fpts","espn_team","espn_recpts","espn_yd","espn_td","espn_fpts","ffs_team","ffs_recpts","ffs_yd","ffs_td","ffs_fpts","fp_team","fp_rushatt","fp_rushyd","fp_rushtd","fp_recpts","fp_recyd","fp_rectd","fp_fl","fp_fpts","numfire_team","numfire_rank","numfire_rushatt","numfire_rushyd","numfire_rushtd","numfire_recpts","numfire_recyd","numfire_rectd","numfire_fpts"
"Jarvis Landry","MIA",5.9,58.3,0.3,0.1,13.33," MIA",5.8,56.2,0.4,13.4,"MIA",5.5,54,0.21,11.5,"MIA",0.5,3.6,0,5.6,59.8,0.3,"0.1",13.9,"MIA","15",0.32,1.56,0,5.64,66.64,0.39,14.7
"Jason Avant","KC",2.4,18.8,0.1,0,4.85," KC ",1.7,20.5,0.1,4.2,"KC",1.44,13,0,2.44," KC",0,0,0,1.7,17.7,0.1,"0.0",4,"KC","90",0,0,0,1.48,17.42,0.05,3.52
"Jeremy Kerley","NYJ",2.1,24.9,0.4,0,6.96,NA,NA,NA,NA,NA,"NYJ",1.68,16,0.14,3.68,"NYJ",0,0.1,0,1.6,18.2,0.2,"0.0",4.4,"NYJ","97",0.04,0.24,0,1.3,13.49,0.04,2.89
"Jeremy Maclin","KC",6,71.9,0.4,0,15.59," KC ",6.4,83,0.3,16.4,"KC",5.8,81,0.23,13.8," KC",0.1,0.8,0,5.8,75.5,0.4,"0.0",15.7,"KC","14",0.12,1.11,0,5.1,72.3,0.4,14.84
"Jermaine Kearse","SEA",2.4,35.4,0.3,0,7.75," SEA",3,44.5,0.2,8.5,"SEA",3.01,50,0.26,8.01,"SEA",0,0.1,0,2.8,38,0.2,"0.0",8,"SEA","51",0.02,0.42,0,2.8,33.23,0.19,7.27
"Jerricho Cotchery","CAR",2.9,29.4,0.3,0,7.59," CAR",2.8,34.7,0.1,6.6,"CAR",1.47,17,0.05,3.47,"CAR",0,0,0,2.3,26.7,0.1,"0.0",5.9,"CAR","68",0,0,0,1.74,23.39,0.09,4.73
"John Brown","ARI",5.9,74.8,0.3,0,15.18," ARI",3.9,51.8,0.3,11,"ARI",3.17,47,0.31,8.17,"ARI",0.2,1,0,4.4,59.9,0.4,"0.0",12.7,"ARI","27",0.07,0.38,0,3.68,53.18,0.47,11.86
"Jordan Matthews","PHI",5.1,65.3,0.3,0,13.43," PHI",5.8,65.4,0.5,14.9,"PHI",5.39,68,0.48,12.39,"PHI",0,0,0,5.3,66.7,0.4,"0.0",14.6,"PHI","11",0,0,0,5.68,73.38,0.43,15.52
"Jordan Norwood","DEN",1.5,18.3,0.1,0,3.96," DEN",2,24.3,0.2,5,"DEN",2.35,20,0.02,4.35,"DEN",0,0,0,1.9,21.6,0.1,"0.0",4.8,"DEN","77",0,0,0,1.7,18.94,0.11,4.31
"Josh Huff","PHI",1.4,20.9,0.2,0.2,4.3," PHI",1.6,17.1,0.1,3.7,NA,NA,NA,NA,NA,"PHI",0.1,1.1,0,1.4,19.1,0.1,"0.1",4.1,"PHI","72",0.09,1.18,0.01,1.57,21.96,0.08,4.43
"Julian Edelman","NE",7.5,83.7,0.5,0,18.87," NE ",8,83.2,0.5,18.8,"NEP",7.04,79,0.44,15.04," NE",0.5,3.5,0,7.4,82.4,0.5,"0.0",19,"NE","4",0.16,0.62,0,6.78,84.96,0.62,19.02
"Julio Jones","ATL",6.4,92.6,0.5,0.1,18.46," ATL",6.4,84.1,0.6,17.9,"ATL",6.28,86,0.42,15.28,"ATL",0.1,0.3,0,6.2,85.4,0.6,"0.1",18,"ATL","22",0,0,0,4.01,55.67,0.48,12.5
"Justin Hunter","TEN",1.5,24.5,0.1,0,4.51," TEN",1.2,17.8,0.1,3,"TEN",2.19,37,0.16,6.19,"TEN",0,0,0,1.8,26.1,0.2,"0.0",5.5,"TEN","50",0,0,0,2.34,32.2,0.31,7.42
"Kamar Aiken","BAL",3,38.9,0.2,0.1,7.84," BAL",2.9,41.5,0.3,8.4,"BAL",3.74,51,0.29,8.74,"BAL",0,0,0,3,39.2,0.2,"0.1",8.2,"BAL","39",0,0,0,3.33,40.81,0.31,9.31
"Keenan Allen","SD",5.9,72.1,0.4,0.2,15.11," SD ",6,82.4,0.5,16.7,"SD",5.54,66,0.47,12.54," SD",0,0,0,6.1,76,0.4,"0.1",16.1,"SD","8",0,0,0,6.4,76.42,0.41,16.54
"Kendall Wright","TEN",3.9,53.8,0.3,0,11.11," TEN",4.8,52.7,0.3,11.7,"TEN",4.35,58,0.3,10.35,"TEN",0.2,1.3,0,4.4,53.6,0.3,"0.0",11.9,"TEN","26",0.16,0.99,0,4.12,55.9,0.36,11.94
"Kenny Stills","MIA",1.9,28.7,0.1,0,5.39," MIA",1.8,24.1,0.1,4.6,"MIA",3.58,43,0.17,7.58,"MIA",0,0,0,1.9,26.5,0.1,"0.0",5.3,"MIA","55",0.01,0.03,0,2,29.28,0.21,6.17
"Lance Moore","DET",1.8,21.4,0.2,0.1,4.95," DET",2.6,32.5,0.2,6.9,"DET",2.03,19,0.17,4.03,"DET",0,0,0,2.2,26.6,0.2,"0.1",5.7,"DET","59",0,0,0,2.41,25.91,0.1,5.62
"Larry Fitzgerald","ARI",6.2,79.5,0.7,0.2,17.95," ARI",6,73.7,0.6,16.4,"ARI",5.2,71,0.6,18.2,"ARI",0,0,0,5.9,74,0.5,"0.1",16.3,"ARI","10",0,0,0,6.13,73.04,0.42,15.95
"Leonard Hankerson","ATL",3.9,55,0.5,0,12.41," ATL",3.9,48.7,0.4,10.1,"ATL",2.24,29,0.2,5.24,"ATL",0,0,0,3.8,53.3,0.4,"0.0",11.6,"ATL","30",0,0,0,3.45,56.35,0.44,11.7
"Malcom Floyd","SD",1.9,36.6,0.1,0,6.2," SD ",2.7,47,0.3,8.7,"SD",2.61,44,0.24,6.61," SD",0,0,0,2.4,39.8,0.2,"0.0",7.6,"SD","53",0,0,0,2.32,34.43,0.24,7.16
"Markus Wheaton","PIT",1.6,26.4,0.1,0,4.85," PIT",1.7,23.9,0.1,4.3,"PIT",2.67,42,0.17,6.67,"PIT",0.1,0.2,0,2,29.1,0.1,"0.0",5.7,"PIT","47",0.01,-0.12,0,2.5,39.27,0.23,7.82
"Marlon Brown","BAL",1.9,19.8,0.1,0,4.49," BAL",2.3,30.3,0.2,6.4,"BAL",2.71,30,0.02,5.71,"BAL",0,0,0,2,24.4,0.1,"0.0",5.2,"BAL","73",0,0,0,1.61,20.72,0.11,4.4
"Marqise Lee","JAC",2.5,28.3,0.1,0,5.98," JAX",3,36.3,0.2,7.4,"JAC",1.88,24,0.03,4.88,"JAC",0.2,0.9,0,2.4,28,0.1,"0.0",6.1,"JAC","71",0.07,0.09,0,1.77,19.63,0.12,4.44
"Marquess Wilson","CHI",2.8,37.3,0.2,0,7.77," CHI",2.7,34.1,0.2,7,"CHI",4,45,0.26,9,"CHI",0,0,0,2.8,36.3,0.2,"0.0",7.8,"CHI","38",0,0,0,3.2,46.37,0.31,9.7
