"playerId","playername","position","team","vor","points","actualPoints","overallRank","positionRank","dropoff","auctionValue","upper","lower","risk","sleeper"
2505629,"Jason Witten","TE","DAL",24.8205,245.3782,"199.45",62,4,"9.2204",1,256.1412,221.8113,"4.7669","null"
2507141,"Pierre Thomas","RB","NO",23.725,229.6777,"152.55",63,23,"4.8587",1,261.3863,170.2244,"3.9289","null"
80429,"Jeremy Maclin","WR","PHI",21.7325,250.2245,"343.95",64,30,"3.4917",1,283.4635,220.0305,"3.9755","63"
941,"Ray Rice","RB","FA",21.6843,227.637,"null",65,24,"8.3987",1,252.9259,181.1429,"2.73","60"
2495267,"Jordan Cameron","TE","CLE",20.7406,241.2983,"99.6",66,5,"17.1823",1,253.2795,216.4987,"4.5216","null"
310,"Matt Ryan","QB","ATL",19.849,394.0219,"378.4",67,8,"8.7226",1,419.0273,349.8026,"4.1357","null"
2495186,"Colin Kaepernick","QB","SF",19.6604,393.8333,"302.85",68,9,"18.136",1,453.3808,341.541,"3.3183","29"
2532865,"T.Y. Hilton","WR","IND",18.2657,246.7577,"322.75",69,31,"2.297",1,281.5023,138.6584,"6.5304","11"
497326,"Golden Tate","WR","DET",18.2159,246.7079,"322.65",70,32,"6.66",1,277.131,206.7075,"3.7122","71"
262,"Chris Johnson","RB","NYJ",16.0482,222.001,"138.3",71,25,"6.6193",1,266.7049,130.2383,"6.5551","14"
497284,"Eric Decker","WR","NYJ",13.7214,242.2134,"248.3",72,33,"5.2076",1,262.0334,178.0676,"3.7954","67"
497208,"Ben Tate","RB","PIT",10.5229,216.4756,"64.05",73,26,"4.4411",1,245.9363,160.003,"3.4448","47"
2495700,"Greg Olsen","TE","CAR",10.4596,231.0174,"271.2",74,6,"15.6895",1,239.3622,214.4556,"3.161","44"
2495341,"Cecil Shorts","WR","JAC",9.3903,237.8823,"139.55",75,34,"4.9996",1,254.375,192.507,"5.7778","20"
4327,"Danny Woodhead","RB","SD",8.3348,214.2876,"10.25",76,27,"5.1858",1,239.0036,180.7514,"4.0041","38"
2505790,"Wes Welker","WR","DEN",7.6372,236.1292,"134.3",77,35,"6.9846",1,284.5355,184.8961,"5.2057","26"
2506404,"Frank Gore","RB","SF",3.8288,209.7816,"192.2",78,28,"2.4791",1,239.8644,163.1157,"2.9584","54"
2495455,"Cam Newton","QB","CAR",2.5925,376.7655,"276.65",79,10,"3.8888",1,409.1015,322.6026,"3.8992","22"
2506467,"Darren Sproles","RB","PHI",2.4691,208.4219,"187",80,29,"3.7037",1,248.3716,160.6598,"4.7397","32"
2543457,"Sammy Watkins","WR","BUF",1.1443,229.6363,"245.3",81,36,"1.7164",1,254.2379,208.2881,"4.695","39"
2506121,"Philip Rivers","QB","SD",0.4562,374.6291,"329.2",82,11,"4.1766",1,397.7959,308.8196,"3.9563","20"
2543682,"Bishop Sankey","RB","TEN",0.2302,206.183,"100.65",83,30,"5.7956",1,263.4348,136.5504,"6.2833","17"
2539205,"Terrance Williams","WR","DAL",0.1609,228.6529,"178.15",84,37,"2.6044",1,254.4737,189.0621,"3.677","74"
81831,"Brian Hartline","WR","MIA",-1.3052,227.1868,"122.1",85,38,"5.6087",1,244.5407,196.3706,"4.1242","60"
2506871,"Fred Jackson","RB","BUF",-2.6993,203.2534,"210.9",86,31,"7.2573",1,229.3784,154.5693,"2.887","56"
79860,"Matthew Stafford","QB","DET",-3.0487,371.1242,"262.1",87,12,"1.3589",1,417.4502,282.032,"3.3025","30"
2540160,"Jordan Reed","TE","WAS",-3.3432,217.2146,"116.75",88,7,"5.6413",1,256.0458,164.6548,"6.0269","11"
2495558,"Dwayne Bowe","WR","KC",-3.5818,224.9102,"173.1",89,39,"8.3199",1,239.2703,199.2024,"5.0366","29"
2504211,"Tom Brady","QB","NE",-4.3922,369.7808,"343.25",90,13,"8.4265",1,408.8937,272.9633,"3.4113","27"
