"playerId","playername","position","team","vor","points","actualPoints","overallECR","overallRank","positionRank","cost","dropoff","adp","adpdiff","auctionValue","upper","lower","risk","sleeper"
2543721,"C.J. Fiedorowicz","TE","HOU",-155.2667,43.7007,"null","null",377,61,"null","5.1933","268","-119",0.5,75.9815,17.9104,"5.0103","null"
497192,"Joe McKnight","RB","FA",-155.3886,26.5,"null","null",378,121,"null","0.4502","null","null",0.5,19.1709,0,"4.1517","null"
2505936,"Steven Jackson","RB","FA",-155.617,26.2715,"null","null",379,122,"null","0.7433","107","-282",0.25,32.7472,-26.5947,"4.1056","null"
2533012,"Vick Ballard","RB","IND",-156.0604,25.8281,"null","null",380,123,"null","0.864","263.86","-126.14",0.25,61.3811,-13.7083,"5.959","null"
2506147,"John Kuhn","RB","GB",-156.6602,25.2284,"null","null",381,124,"null","0.9503","73","-318",0.25,38.6686,14.2023,"5.4933","null"
2543646,"Bruce Ellington","WR","SF",-156.8052,73.3223,"null","null",382,121,"null","5.5217","215.5","-176.5",0.5,110.5918,35.2277,"4.6109","78"
1980,"Peyton Hillis","RB","FA",-157.1886,24.7,"null","null",383,125,"null","1.1595","null","null",0,17.8036,-17.75,"2.1953","null"
2539980,"Kerwynn Williams","RB","ARI",-158.0325,23.856,"null","null",384,126,"null","0.6718","null","null",0.5,60.1617,0.3,"2.7915","null"
497172,"Anthony Dixon","RB","BUF",-158.6636,23.225,"null","null",385,127,"null","0.3525","null","null",0.25,43.4899,1.7793,"6.3176","null"
79563,"Shonn Greene","RB","FA",-158.7451,23.1435,"null","null",386,128,"null","0.6226","null","null",0.25,45.0445,-20.9102,"5.1363","null"
2550407,"Zurlon Tipton","RB","IND",-159.2871,22.6014,"null","null",387,129,"null","0.2232","226","-171",0.25,47.7647,0,"1.6207","null"
497208,"Ben Tate","RB","FA",-159.4482,22.4403,"null","null",388,130,"null","0.4262","null","null",0.25,44.26,-21.9166,"2.9375","null"
2495467,"Taiwan Jones","RB","OAK",-159.5725,22.3161,"null","null",389,131,"null","0.9305","null","null",1,29.2916,15,"5.9199","null"
2539265,"Rex Burkhead","RB","CIN",-160.1763,21.7122,"null","null",390,132,"null","0.6689","179.5","-220.5",0,32.0691,1.859,"4.8623","null"
2553318,"James OShaughnessy","TE","KC",-160.3526,38.6148,"null","null",391,62,"null","0.6298","135.5","-265.5",0.5,67.0602,0,"3.131","null"
