"playerId","playername","position","team","vor","points","actualPoints","overallRank","positionRank","dropoff"
2506356,"Mike Williams","WR","SEA",241.4667,428.8,"59.4",1,1,"65.075"
2504531,"Michael Vick","QB","PHI",189.6167,489.2,"327.5",2,1,"74.975"
79555,"Arian Foster","RB","HOU",187.7667,410.1,"367.25",3,1,"5.8"
941,"Ray Rice","RB","BAL",187.3167,409.65,"456.55",4,2,"23.475"
2506366,"Roddy White","WR","ATL",177.1667,364.5,"342.4",5,2,"12.125"
925,"Jamaal Charles","RB","KC",176.6167,398.95,"25.25",6,3,"30.525"
2505551,"Andre Johnson","WR","HOU",175.6167,362.95,"118.8",7,3,"24.925"
80672,"Hakeem Nicks","WR","NYG",154.4667,341.8,"296.8",8,4,"17.55"
284,"Darren McFadden","RB","OAK",151.0667,373.4,"168.55",9,4,"12.275"
2495647,"Calvin Johnson","WR","DET",146.9167,334.25,"441.15",10,5,"21.525"
262,"Chris Johnson","RB","TEN",141.1167,363.45,"258.3",11,5,"11.375"
2507164,"Adrian Peterson","RB","MIN",136.4667,358.8,"251.85",12,6,"17.225"
2506363,"Aaron Rodgers","QB","GB",135.9667,435.55,"560.15",13,2,"51.4"
2506106,"Larry Fitzgerald","WR","ARI",126.9167,314.25,"339.65",14,6,"4.8"
768,"Steve Johnson","WR","BUF",123.8667,311.2,"268.6",15,7,"3.95"
2495831,"Maurice Jones-Drew","RB","JAC",123.0167,345.35,"386.65",16,7,"9.375"
2495867,"Greg Jennings","WR","GB",120.3667,307.7,"263.35",17,8,"1.275"
2507763,"Mike Wallace","WR","PIT",119.4667,306.8,"295.95",18,9,"1.9"
2506400,"Vincent Jackson","WR","SD",118.7167,306.05,"279.9",19,10,"10.25"
2495801,"Miles Austin","WR","DAL",116.4167,303.75,"171.85",20,11,"21.65"
79607,"LeSean McCoy","RB","PHI",115.4667,337.8,"400.2",21,8,"18.95"
234,"Matt Forte","RB","CHI",111.8167,334.15,"290.35",22,9,"39.825"
2495558,"Dwayne Bowe","WR","KC",100.5167,287.85,"284.85",23,12,"12.525"
2504211,"Tom Brady","QB","NE",93.3167,392.9,"493.45",24,3,"19.925"
2495893,"Brandon Marshall","WR","MIA",89.0167,276.35,"296.1",25,13,"3.5"
2504747,"Reggie Wayne","WR","IND",86.9667,274.3,"243",26,14,"4.3"
2505600,"Brandon Lloyd","WR","DEN",84.0667,271.4,"244.9",27,15,"5.175"
497278,"Dez Bryant","WR","DAL",81.2667,268.6,"261.1",28,16,"8.5"
2495560,"Ahmad Bradshaw","RB","NYG",81.2167,303.55,"206.5",29,10,"19.2"
2505790,"Wes Welker","WR","NE",76.5167,263.85,"415.45",30,17,"7.725"
2506121,"Philip Rivers","QB","SD",75.8167,375.4,"307.7",31,4,"5.85"
2504775,"Drew Brees","QB","NO",70.9667,370.55,"568.9",32,5,"15.35"
2506885,"Santonio Holmes","WR","NYJ",69.0167,256.35,"194.1",33,18,"0.775"
2505354,"Tony Romo","QB","DAL",68.9667,368.55,"359.7",34,6,"33.75"
1581,"DeSean Jackson","WR","PHI",68.5667,255.9,"232.2",35,19,"3.1"
2505587,"Anquan Boldin","WR","BAL",67.9167,255.25,"208.05",36,20,"6.125"
2505629,"Jason Witten","TE","DAL",67.4833,281.1,"250.3",37,1,"24.625"
2649,"Danny Amendola","WR","STL",63.0167,250.35,"11.75",38,21,"4.275"
1980,"Peyton Hillis","RB","CLE",62.7667,285.1,"111.85",39,11,"2.225"
2506404,"Frank Gore","RB","SF",61.2667,283.6,"227.9",40,12,"1.525"
71217,"Kenny Britt","WR","TEN",60.5667,247.9,"75.35",41,22,"3.7"
931,"Felix Jones","RB","DAL",59.8167,282.15,"143.4",42,13,"1.475"
497147,"Jahvid Best","RB","DET",59.6667,282,"142.05",43,14,"7.4"
2505299,"Antonio Gates","TE","SD",57.9333,271.55,"222.7",44,2,"30.575"
79563,"Shonn Greene","RB","NYJ",57.0167,279.35,"224.1",45,15,"9.95"
80429,"Jeremy Maclin","WR","PHI",56.9167,244.25,"220.3",46,23,"1.2"
2504595,"Steve Smith","WR","CAR",56.8167,244.15,"324.1",47,24,"7.05"
81308,"Mike Thomas","WR","JAC",54.6167,241.95,"116.65",48,25,"9.95"
2505936,"Steven Jackson","RB","STL",47.5167,269.85,"273.45",49,16,"2.575"
79619,"Knowshon Moreno","RB","DEN",46.6167,268.95,"55.1",50,17,"8.925"
2504651,"Chad Johnson","WR","NE",44.9167,232.25,"62.4",51,26,"1.5"
80425,"Percy Harvin","WR","MIN",44.4167,231.75,"300.05",52,27,"3.775"
939,"Rashard Mendenhall","RB","PIT",43.2667,265.6,"199.5",53,18,"12.575"
2495821,"Marques Colston","WR","NO",42.4167,229.75,"296.45",54,28,"6.675"
2505982,"Matt Schaub","QB","HOU",42.2667,341.85,"197.85",55,7,"25.15"
2504743,"Santana Moss","WR","WAS",38.8667,226.2,"157.6",56,29,"8.7"
2495718,"Sidney Rice","WR","SEA",32.6167,219.95,"116.6",57,30,"6.975"
79661,"Beanie Wells","RB","ARI",32.1167,254.45,"202.15",58,19,"5.1"
2506871,"Fred Jackson","RB","BUF",29.2667,251.6,"288",59,20,"5.05"
79557,"Josh Freeman","QB","TB",28.1667,327.75,"207.6",60,8,"23.025"
2505664,"Dallas Clark","TE","IND",27.7833,241.4,"95.8",61,3,"1.25"
2495676,"Robert Meachem","WR","NO",27.7167,215.05,"169",62,31,"7"
2495826,"Vernon Davis","TE","SF",26.9333,240.55,"215.8",63,4,"11.5"
1072,"Jermichael Finley","TE","GB",26.1333,239.75,"218.05",64,5,"24.85"
497149,"LeGarrette Blount","RB","TB",24.7667,247.1,"154.5",65,21,"3.1"
497188,"Ryan Mathews","RB","SD",23.6667,246,"309.05",66,22,"6.8"
2506287,"Lance Moore","WR","NO",23.5667,210.9,"194.05",67,32,"6.525"
2506874,"Reggie Bush","RB","MIA",19.6667,242,"287.2",68,23,"7.45"
735,"Davone Bess","WR","MIA",17.8667,205.2,"165.65",69,33,"2.6"
1030,"Mario Manningham","WR","NYG",16.2167,203.55,"141.45",70,34,"6.275"
2495454,"Julio Jones","WR","ATL",14.3167,201.65,"242.85",71,35,"9.575"
2507428,"Mike Tolbert","RB","SD",14.0667,236.4,"232.2",72,24,"4.125"
2506014,"Michael Turner","RB","ATL",10.3667,232.7,"278.45",73,25,"2.15"
2495793,"Joseph Addai","RB","IND",9.5167,231.85,"76.35",74,26,"3.2"
2506343,"Cedric Benson","RB","CIN",6.9167,229.25,"172.65",75,27,"1.975"
382,"Joe Flacco","QB","BAL",6.0667,305.65,"194.65",76,9,"3.025"
2495466,"Mark Ingram","RB","NO",5.7167,228.05,"95.6",77,28,"3.975"
497288,"Jacoby Ford","WR","OAK",5.5667,192.9,"92.9",78,36,"8.35"
238457,"Zach Miller","TE","JAC",4.7333,218.35,"16.3",79,6,"7.1"
2506109,"Ben Roethlisberger","QB","PIT",4.2167,303.8,"257.7",80,10,"6.325"
2495979,"DeAngelo Williams","RB","CAR",4.1667,226.5,"212.8",81,29,"6.25"
2495450,"A.J. Green","WR","CIN",3.9167,191.25,"265.55",82,37,"13.7"
2495824,"Jay Cutler","QB","CHI",1.8667,301.45,"146.9",83,11,"9.275"
2495663,"Marshawn Lynch","RB","SEA",-0.6833,221.65,"279.25",84,30,"7.55"
2495888,"Marcedes Lewis","TE","JAC",-2.1667,211.45,"108",85,7,"2.1"
2505938,"Chris Cooley","TE","WAS",-2.5667,211.05,"17.15",86,8,"6.475"
2506448,"Brandon Jacobs","RB","NYG",-3.4833,218.85,"139.5",87,31,"11.65"
497240,"Rob Gronkowski","TE","NE",-5.9667,207.65,"396.9",88,9,"6.775"
2506581,"Ryan Fitzpatrick","QB","BUF",-6.0833,293.5,"243.7",89,12,"7.6"
310,"Matt Ryan","QB","ATL",-8.7333,290.85,"324.9",90,13,"11.35"
733,"Earl Bennett","WR","CHI",-9.4833,177.85,"84.95",91,38,"0.7"
2506097,"Lee Evans","WR","BAL",-10.0833,177.25,"15.1",92,39,"0.75"
2505511,"Nate Burleson","WR","DET",-10.2833,177.05,"201.55",93,40,"1.95"
2503532,"Hines Ward","WR","PIT",-11.3833,175.95,"112.15",94,41,"2.2"
2506107,"Kellen Winslow","TE","TB",-12.1167,201.5,"198.45",95,10,"4.75"
929,"BenJarvus Green-Ellis","RB","NE",-12.9833,209.35,"163.2",96,32,"4.5"
79595,"Johnny Knox","WR","CHI",-13.0833,174.25,"175.35",97,42,"2.175"
2495825,"Owen Daniels","TE","HOU",-13.3667,200.25,"173.55",98,11,"7"
497320,"Andre Roberts","WR","ARI",-14.0833,173.25,"152.4",99,43,"3.175"
2505453,"Kevin Walter","WR","HOU",-16.4333,170.9,"128.1",100,44,"2.575"
4327,"Danny Woodhead","RB","NE",-17.2833,205.05,"95.1",101,33,"7.2"
4383,"Tim Hightower","RB","WAS",-17.6833,204.65,"67",102,34,"15.075"
1990,"Eddie Royal","WR","DEN",-18.0833,169.25,"72.3",103,45,"2.175"
2505996,"Eli Manning","QB","NYG",-18.6333,280.95,"346.05",104,14,"8.775"
2504253,"Plaxico Burress","WR","NYJ",-19.9333,167.4,"184.8",105,46,"0.65"
497236,"Jimmy Graham","TE","NO",-20.3667,193.25,"358.5",106,12,"1.75"
2504764,"Todd Heap","TE","ARI",-20.3667,193.25,"72.45",106,12,"6.5"
1032,"Jordy Nelson","WR","GB",-20.5833,166.75,"347.45",108,47,"4.55"
2505785,"Malcom Floyd","WR","SD",-20.5833,166.75,"201.4",108,47,"9.425"
497095,"Sam Bradford","QB","STL",-21.5333,278.05,"35.2",110,15,"13.95"
2495700,"Greg Olsen","TE","CAR",-23.8667,189.75,"153",111,14,"7.175"
2507184,"Mike Sims-Walker","WR","JAC",-29.6833,157.65,"34.5",112,49,"1.025"
497244,"Aaron Hernandez","TE","NE",-29.8667,183.75,"264.25",113,15,"2.425"
2506342,"Braylon Edwards","WR","FA",-30.3333,157,"42.15",114,50,"1.05"
497324,"Jordan Shipley","WR","CIN",-31.0833,156.25,"6.1",115,51,"2.75"
2506140,"Ryan Grant","RB","GB",-31.2833,191.05,"141.4",116,35,"9.3"
2505033,"Jabar Gaffney","WR","WAS",-31.6833,155.65,"237.05",117,52,"5.55"
71265,"Jared Cook","TE","TEN",-32.2167,181.4,"174.85",118,16,"1.525"
497238,"Jermaine Gresham","TE","CIN",-32.3667,181.25,"178.4",119,17,"4.625"
2506562,"Matt Cassel","QB","KC",-33.2833,266.3,"86.5",120,16,"17.325"
2504778,"LaDainian Tomlinson","RB","NYJ",-34.2333,188.1,"155.1",121,36,"18.05"
2506122,"Benjamin Watson","TE","CLE",-35.1167,178.5,"110.5",122,18,"4.225"
318,"Jerome Simpson","WR","CIN",-35.9833,151.35,"182.75",123,53,"4.3"
79860,"Matthew Stafford","QB","DET",-37.6833,261.9,"431.2",124,17,"27.775"
497284,"Eric Decker","WR","DEN",-38.4833,148.85,"201.95",125,54,"4.6"
2507218,"Brent Celek","TE","PHI",-38.8667,174.75,"213.65",126,19,"2.15"
1074,"Dustin Keller","TE","NYJ",-39.8167,173.8,"214.25",127,20,"3.05"
2505013,"Roy Williams","WR","FA",-42.0833,145.25,"null",128,55,"2.5"
2506369,"Heath Miller","TE","PIT",-42.2167,171.4,"155.7",129,21,"4.475"
