"name","cbs_team","cbs_rushatt","cbs_rushyd","cbs_rushtd","cbs_recpts","cbs_recyd","cbs_rectd","cbs_fl","cbs_fpts","espn_team","espn_rushatt","espn_rushyd","espn_rushtd","espn_recpts","espn_recyd","espn_rectd","espn_fpts","ffs_team","ffs_rushatt","ffs_rushyd","ffs_rushtd","ffs_recpts","ffs_recyd","ffs_rectd","ffs_fpts","fp_team","fp_rushatt","fp_rushyd","fp_rushtd","fp_recpts","fp_recyd","fp_rectd","fp_fl","fp_fpts","numfire_team","numfire_rank","numfire_rushatt","numfire_rushyd","numfire_rushtd","numfire_recpts","numfire_recyd","numfire_rectd","numfire_fpts"
"Alfred Blue","HOU",9.6,42.2,0.2,1.1,7.4,0,0.1,7.04," HOU",9.6,39.6,0.2,1.8,14.1,0,7.4,"HOU",10.87,37,0.18,0.85,6,0.03,5.85,"HOU",8.1,31.4,0.2,1,7.9,0,"0.1",6,"HOU","40",7.35,29.72,0.21,1.85,15.53,0.03,7.74
"Alfred Morris","WAS",14.2,51.7,0.3,1,7.4,0,0.1,8.52," WSH",11.8,44.8,0.3,0.5,4.4,0,6.3,"WAS",19.89,82,0.35,1.06,8,0,11.06,"WAS",12.1,52.4,0.3,1.1,7.8,0,"0.1",8.7,"WSH","32",11.28,49.45,0.34,1.49,9.91,0.05,9.61
"Ameer Abdullah","DET",17,59.8,0.5,2.8,22.4,0.2,0.1,15.03," DET",11.8,47.9,0.3,3.1,25.4,0.1,11.1,"DET",12.01,48,0.39,3.57,33,0.28,15.57,"DET",13,49.6,0.3,2.4,20.8,0.1,"0.1",11.4,"DET","27",11.3,43.39,0.18,2.55,20.8,0.13,10.69
"Andre Ellington","ARI",9.1,35.6,0.3,2.2,20.2,0.1,0.4,9.43," ARI",5.9,23.5,0.2,1.5,13.7,0.1,5.8,"ARI",12.33,49,0.41,2.3,21,0.11,11.3,"ARI",7.3,26.9,0.2,2.2,18.1,0.1,"0.3",7.6,"ARI","45",7.74,28.39,0.14,1.9,15.13,0.03,7.07
"Andre Williams","NYG",7.5,28.1,0.3,0.7,4.2,0,0.1,5.487," NYG",7.6,29.7,0.2,0.1,1.1,0,3.1,"NYG",10.53,35,0.33,0.6,5,0,5.6,"NYG",10,37.3,0.3,0.6,3.9,0,"0.1",6.2,"NYG","31",14.15,51.97,0.34,1.53,9.03,0,9.67
"Arian Foster","HOU",14.9,70.6,0.5,2.9,24.5,0.3,0.1,16.96," HOU",15.3,72.7,0.5,3.2,25,0.1,15.6,"HOU",14.65,65,0.28,2.32,20,0.16,13.32,"HOU",16.8,70.5,0.6,2.7,22.2,0.2,"0.2",16.2,"HOU","5",14.15,60.74,0.5,3.21,26.11,0.18,15.72
"C.J. Anderson","DEN",12.8,55.5,0.5,2.8,22.7,0.1,0.1,14.04," DEN",13.2,55.6,0.4,3.1,25,0.1,13,"DEN",16.53,66,0.47,3.27,28,0.14,15.27,"DEN",10.6,40.8,0.2,2.1,16.1,0.1,"0.1",9.6,"DEN","34",7.68,30.87,0.19,2.33,17.58,0.15,9.14
"C.J. Spiller","NO",5.4,23.9,0.1,2.4,18.2,0.1,0.1,7.59," NO ",5.2,23.1,0.1,4.5,38.2,0.2,11.1,"NO",4.21,14,0.07,2.33,29,0.13,8.33," NO",4.6,18,0.1,3.5,31.8,0.1,"0.1",9.6,"NO","33",5.14,17.58,0.11,3.33,26.83,0.22,9.49
"Carlos Hyde","SF",15.3,80.6,0.5,1.4,9.8,0,0.1,13.27," SF ",16.8,74.6,0.6,1.6,12.6,0.1,13.4,"SFO",13.16,60,0.38,1.45,9,0.04,9.45," SF",15.8,62.2,0.3,1.6,11.4,0,"0.1",10.9,"SF","15",16.07,65.82,0.33,2.24,14.03,0.04,12.19
"Charles Sims","TB",7,25.9,0.2,2.5,22.6,0.2,0.1,9.57," TB ",5.7,20.4,0.1,2.8,23,0.1,7.6,"TB",7.36,23,0.05,2.47,25,0.25,9.47," TB",5.5,19.5,0.1,2.7,21.8,0.1,"0.1",8.1,"TB","52",5.92,20.43,0.17,1.38,12.58,0.02,5.72
