"name","cbs_team","cbs_rushatt","cbs_rushyd","cbs_rushtd","cbs_recpts","cbs_recyd","cbs_rectd","cbs_fl","cbs_fpts","espn_team","espn_rushatt","espn_rushyd","espn_rushtd","espn_recpts","espn_recyd","espn_rectd","espn_fpts","ffs_team","ffs_rushatt","ffs_rushyd","ffs_rushtd","ffs_recpts","ffs_recyd","ffs_rectd","ffs_fpts","fp_team","fp_rushatt","fp_rushyd","fp_rushtd","fp_recpts","fp_recyd","fp_rectd","fp_fl","fp_fpts","numfire_team","numfire_rank","numfire_rushatt","numfire_rushyd","numfire_rushtd","numfire_recpts","numfire_recyd","numfire_rectd","numfire_fpts"
"LeGarrette Blount","NE",13.3,64.6,0.5,1.5,10.5,0.1,0.1,12.39," NE ",12.1,54.1,0.7,0.3,2.3,0,9.5,"NEP",10.17,44,0.42,0.94,7,0.01,5.94," NE",11.9,55.2,0.5,1.1,9.3,0,"0.1",10.9,"NE","22",9.82,46.94,0.32,2.56,23.59,0.06,11.83
"Mark Ingram","NO",11.4,53.5,0.4,3.3,29.5,0.1,0.2,14.22," NO ",13,54.1,0.6,4.1,31,0.1,16.1,"NO",17.19,73,0.63,4.05,31,0,20.05," NO",13,56.4,0.5,3.4,25.9,0.1,"0.2",14.8,"NO","12",12.92,60.04,0.49,2.51,17.9,0.05,13.48
"Marshawn Lynch","SEA",15.3,74.3,0.7,2.1,19.3,0.1,0.1,16.11," SEA",18.9,82.9,0.4,2.8,22.2,0.1,15.6,"SEA",13.02,60,0.45,1.62,15,0.08,9.62,"SEA",14,62.3,0.4,2,16.2,0.1,"0.1",12.8,"SEA","37",8.28,37.83,0.22,1.45,11.17,0.05,7.87
"Matt Forte","CHI",15.6,60.3,0.3,4.9,38.6,0.2,0.2,17.41," CHI",21.9,98.4,0.6,3.7,34.5,0.2,20.3,"CHI",16.54,69,0.29,4.45,37,0.23,15.45,"CHI",17.8,75.3,0.5,4.2,34.7,0.2,"0.2",18.8,"CHI","3",16.78,74.42,0.44,4.17,34.44,0.14,18.42
"Matt Jones","WAS",9.1,36.1,0.3,1,7.3,0,0.4,6.313," WSH",10.8,40.5,0.3,0.8,6.7,0,6.3,"WAS",6.2,24,0.25,0.8,8,0.01,3.8,"WAS",10,37.7,0.3,1.3,10.7,0,"0.3",7.5,"WSH","29",9.89,34.46,0.23,2.09,19.97,0.1,9.37
"Melvin Gordon","SD",12.9,58.8,0.2,2.2,15.9,0.1,0.2,11.04," SD ",13.1,54.6,0.2,1.4,10.8,0.1,8.7,"SD",13.89,54,0.16,2.92,21,0.02,10.92," SD",12.5,54.3,0.2,1.9,14.9,0.1,"0.2",10.3,"SD","23",11.1,46.52,0.24,3.06,24.76,0.07,11.81
"Rashad Jennings","NYG",11.5,38.8,0.3,2.5,23.1,0.1,0.1,10.86," NYG",9.3,32.1,0.2,1.8,14.1,0,7.3,"NYG",7.07,25,0.17,1.39,12,0.06,5.39,"NYG",10.9,40,0.3,2.3,18.5,0.1,"0.1",10.2,"NYG","18",12.3,49.18,0.45,2.74,20.71,0.02,12.39
"Ronnie Hillman","DEN",8.3,41.6,0.3,1.2,8.1,0.1,0.1,8.36," DEN",11.6,53.6,0.4,1.4,11.6,0.1,10,"DEN",9.3,42,0.27,1.14,7,0.03,6.14,"DEN",10.3,45.9,0.3,1.3,9.3,0.1,"0.1",9,"DEN","34",10.02,41.26,0.39,1.52,9.64,0.02,8.89
"Ryan Mathews","PHI",6.7,31.6,0.4,2.7,24.6,0.3,0.4,11.71," PHI",5,21.1,0.1,1.1,8.4,0,4,"PHI",8.09,39,0.42,1.48,11,0.14,6.48,"PHI",7,29.5,0.3,1.7,14.3,0.1,"0.2",7.8,"PHI","35",8.42,33.04,0.32,1.71,15,0.02,8.35
"Shane Vereen","NYG",4.4,15.7,0.1,3.6,36.7,0.1,0.1,9.82," NYG",4.4,16.1,0.1,3,30.3,0.1,8.3,"NYG",5.14,20,0.03,3.04,29,0.13,8.04,"NYG",4.7,18.1,0.1,3,27.6,0.1,"0.1",8.6,"NYG","39",4.64,19.55,0.18,2.43,20.1,0.05,7.66
"T.J. Yeldon","JAC",17.1,65.4,0.5,2.8,15.9,0.1,0.1,14.31," JAX",16.7,60.1,0.4,2.2,18.6,0.1,11.9,"JAC",10.64,38,0.05,1.93,11,0.1,6.93,"JAC",15.9,59.4,0.4,2.4,17.3,0.1,"0.1",12.8,"JAC","19",15.07,55.67,0.24,2.86,21.67,0.09,12.33
"Tevin Coleman","ATL",6.3,33.1,0.3,1,8.3,0,0.1,6.725," ATL",7.6,35.5,0.3,0.8,6.2,0,5.8,"ATL",6.97,25,0.17,1.19,9,0.05,4.19,"ATL",6.1,29.1,0.3,1.1,7.8,0,"0.1",6.3,"ATL","44",5.61,25.92,0.24,1.46,9.62,0,6.43
"Theo Riddick","DET",3.7,13,0.1,4,34.8,0.4,0.1,11.57," DET",0.7,2.8,0,4.4,37.8,0.2,8.8,"DET",0.53,2,0.02,2.55,18,0.16,4.55,"DET",1.9,7.3,0,3.9,33.2,0.2,"0.1",9.2,"DET","56",1.5,7.07,0.02,2.05,18.29,0.05,4.97
