"name","cbs_fpts","espn_fpts","ffs_fpts","fp_fpts","numfire_fpts","hodges.lehmann","mean","risk","Ceiling","Floor","Tier","rank"
"Le'Veon Bell",21.11,21.8,30.33,22.5,22.97,22.5,23.5,3.4,26.9,20.1,7,1
"Matt Forte",17.53,18.8,19.32,19,19.26,19,18.8,0.7,19.5,18.1,7,2
"Devonta Freeman",18.65,19,20.15,18.7,16,18.7,18.5,1.4,19.9,17.1,7,3
"Todd Gurley",13.5,13.3,31,13.3,13.17,13.4,16.3,7.2,23.5,9.1,4,4
"Arian Foster",15.56,16.8,13.32,16.2,15.72,15.7,15.6,1.2,16.8,14.4,6,5
"DeMarco Murray",15.63,15.1,22.1,12.6,12.13,15.1,15.4,3.6,19,11.8,6,6
"Justin Forsett",12.26,17,14.89,16.2,13.94,14.9,14.9,1.7,16.6,13.2,6,7
"Mark Ingram",11.81,13.9,22.56,14.3,12.65,13.9,14.9,3.9,18.8,11,6,8
"Dion Lewis",13.34,16.7,13.06,15.6,14.08,14.5,14.5,1.4,15.9,13.1,6,9
"Eddie Lacy",15.28,15,10.57,15.9,14.33,14.8,14.3,1.9,16.2,12.4,6,10
"Latavius Murray",14.63,13.2,14.96,14.1,11.91,13.9,13.8,1.1,14.9,12.7,6,11
"Joseph Randle",10.15,11.3,18.91,12.5,12.16,12.2,12.9,3.1,16,9.8,5,12
"T.J. Yeldon",13.5,12.6,11.24,13.9,11.67,12.6,12.6,1,13.6,11.6,6,13
"Ameer Abdullah",12.23,13.1,15.57,11.4,10.69,12.2,12.5,1.7,14.2,10.8,6,14
"Danny Woodhead",11.39,11.4,11.94,12.2,12.64,11.9,11.9,0.5,12.4,11.4,6,15
"Giovani Bernard",12.52,11.5,12.62,11.2,11.07,11.8,11.8,0.7,12.5,11.1,6,16
"Doug Martin",10.39,10.8,11.94,12.2,12.59,11.5,11.6,0.8,12.4,10.8,6,17
"LeGarrette Blount",10.75,6.9,15.84,10.1,12.33,11.2,11.2,2.9,14.1,8.3,4,18
"Carlos Hyde",11.3,11.7,9.45,10.9,12.19,11.3,11.1,0.9,12,10.2,6,19
"Melvin Gordon",12.52,9.1,11.15,10.7,11.99,11.2,11.1,1.2,12.3,9.9,5,20
"Frank Gore",9.66,12.2,8.49,12.1,11.55,10.9,10.8,1.5,12.3,9.3,4,21
"C.J. Anderson",10.73,9.5,15.27,9.6,9.14,10.1,10.7,2.3,13,8.4,4,22
"Jeremy Hill",9.703,8.6,13.04,8.7,12.43,10.6,10.5,1.9,12.4,8.6,4,23
"Darren Sproles",10.6,8.6,9.63,11.6,11.45,10.5,10.4,1.1,11.5,9.3,4,24
"Chris Johnson",10.53,8.6,8.05,11.7,12.15,10.1,10.2,1.6,11.8,8.6,4,25
"Thomas Rawls",10.89,11.1,3.69,12,11.24,11.1,10,3.1,13.1,6.9,4,26
"Rashad Jennings",12.27,9.2,6.49,9.8,10.07,9.6,9.6,1.9,11.5,7.7,4,27
"Alfred Morris",9.72,8.6,11.06,8.7,9.61,9.6,9.5,0.9,10.4,8.6,4,28
"Theo Riddick",8.38,10.4,12.57,8.7,7.26,9.4,9.5,1.9,11.4,7.6,4,29
"Matt Jones",8.5,7.8,8.43,10.3,11.8,9.4,9.4,1.5,10.9,7.9,4,30
"C.J. Spiller",9.85,9.2,8.33,9.6,9.49,9.4,9.3,0.5,9.8,8.8,4,31
"Shane Vereen",10.05,8.5,10.75,9.1,8.33,9.3,9.3,0.9,10.2,8.4,4,32
"Isaiah Crowell",10.94,7.5,6.87,8.9,10.04,8.9,8.9,1.5,10.4,7.4,4,33
"Andre Ellington",9.61,8.7,11.3,7.6,7.07,8.7,8.8,1.5,10.3,7.3,4,34
"Ronnie Hillman",8.91,9.1,8.22,10.4,7.39,8.9,8.8,1,9.8,7.8,4,35
"Charles Sims",9.87,6.5,9.47,8.1,5.72,8,7.9,1.6,9.5,6.3,1,36
"Darren McFadden",6.47,10.1,6.27,7.3,8.26,7.4,7.6,1.4,9,6.2,1,37
"Bishop Sankey",7.68,5.4,4.64,7.6,10.61,7.6,7.3,2.1,9.4,5.2,1,38
"Ryan Mathews",11.32,3.8,6.24,7,8.12,7.2,7.3,2.5,9.8,4.8,1,39
"Tevin Coleman",7.96,5.9,5.1,6.4,8.27,6.7,6.7,1.2,7.9,5.5,1,40
