"name","numfire_dkcost","cbs_fpts","espn_fpts","ffs_fpts","fftoday_fpts","fp_fpts","numfire_fpts","fft_fpts","hodges.lehmann","mean","risk","rank","best","worst","avg","sd","Ceiling","Floor","Tier"
"Rob Gronkowski",8000,18.92,17.38,18.85,21,13.4,20.224,21,19,18.7,2.7,1,1,4,1.1,0.5,21.4,16,1
"Tyler Eifert",5300,16.77,10.51,15.39,19.5,10.73,8.824,19.5,14.4,14.5,4.4,2,1,9,3.2,1.4,18.9,10.1,1
"Greg Olsen",6500,11.5,10.98,11.2,20,11.54,10.433,20,11.5,13.7,4.3,3,1,6,3.1,1.3,18,9.4,1
"Martellus Bennett",4900,10.26,10.52,10.35,18.5,10.61,9.804,18.5,10.6,12.6,4,4,2,11,4.7,1.9,16.6,8.6,1
"Travis Kelce",5000,10.97,10.16,9.43,18.5,10.96,9.91,18.5,11,12.6,4,5,2,10,4.6,1.6,16.6,8.6,1
"Jimmy Graham",5100,16.81,9.09,9,16.5,9.73,8.808,16.5,12.8,12.3,4,6,2,19,8.9,2.6,16.3,8.3,1
"Delanie Walker",4100,6.83,10.48,10.45,18.5,9.46,8.126,18.5,10.5,11.8,4.8,7,4,22,9.2,3.7,16.6,7,1
"Gary Barnidge",4700,8.6,9.14,8.24,18,9.57,7.717,18,9.4,11.3,4.6,8,2,18,6.6,2.3,15.9,6.7,1
"Jason Witten",5200,8.19,9.06,11.7,15,8.96,9.384,15,10.9,11,2.9,9,3,17,8.7,2.5,13.9,8.1,1
"Ladarius Green",3000,8.52,8.26,5.08,18.5,9.07,7.285,18.5,8.9,10.7,5.5,10,2,23,10.8,3.9,16.2,5.2,1
"Eric Ebron",3100,8.36,7.58,10.3,15,8.18,8.184,15,10.1,10.4,3.3,11,5,29,10.6,3,13.7,7.1,1
"Jordan Cameron",3300,5.58,8.6,6.73,9.5,7.11,5.543,9.5,7.5,7.5,1.7,12,6,23,13.8,2.7,9.2,5.8,4
"Larry Donnell",3300,5.56,8.68,8.19,8,7.01,6.392,8,7.5,7.4,1.1,13,7,25,14.6,2.8,8.5,6.3,4
"Heath Miller",2700,6.02,8.14,6.11,8,6.94,6.321,8,7.1,7.1,1,14,10,26,17.9,3.1,8.1,6.1,4
"Crockett Gillmore",2500,5.57,5.95,6.89,6.5,6.42,7.638,6.5,6.5,6.5,0.7,15,10,23,16.4,2.7,7.2,5.8,4
"Jared Cook",2600,6.28,6.56,6.34,7.5,6.24,4.999,7.5,6.4,6.5,0.9,16,14,27,21.2,2.6,7.4,5.6,4
"Richard Rodgers",3000,4.76,6.19,5.44,8,6.29,6.559,8,6.4,6.5,1.2,17,4,24,16.7,3.2,7.7,5.3,4
"Vernon Davis",2900,7.18,7.25,4.66,6,6.51,5.532,6,6.2,6.2,0.9,18,13,28,22.4,2.7,7.1,5.3,4
"Coby Fleener",2800,6.63,6.15,6.57,4.5,6.17,7.751,4.5,6.2,6,1.2,19,12,30,21,2.9,7.2,4.8,4
"Jacob Tamme",2700,5.32,6.17,4.72,6,5.88,5.436,6,5.7,5.6,0.5,20,8,24,19,2.9,6.1,5.1,4
"Owen Daniels",2600,4.13,6.86,4.39,6.5,5.36,4.697,6.5,5.5,5.5,1.1,21,19,29,24.3,2,6.6,4.4,4
"Kyle Rudolph",3000,5.59,5.41,4.57,4,5.6,7.117,4,5.1,5.2,1.1,22,9,24,15.7,2.7,6.3,4.1,3
"Brandon Myers",2500,5.21,4.76,4.37,4,4.57,4.64,4,4.5,4.5,0.4,23,5,42,28.6,8.9,4.9,4.1,3
"Dwayne Allen",2500,4.04,4.12,5.08,4.5,3.97,3.175,4.5,4.2,4.2,0.6,24,10,38,26.2,3.7,4.8,3.6,3
"Jermaine Gresham",2500,3.2,3.81,3.98,6,4.23,2.433,6,4.1,4.2,1.3,25,12,38,25.7,4.3,5.5,2.9,3
"Mychal Rivera",2500,3.41,4.12,4.73,4,3.85,4.343,4,4.1,4.1,0.4,26,25,42,29.8,3.2,4.5,3.7,3
"Garrett Graham",2500,3.99,4.04,3.35,4.5,3.41,2.137,4.5,3.7,3.7,0.8,27,30,40,34.3,2.9,4.5,2.9,3
"Luke Willson",2500,4.28,2.36,2.65,4,3.19,2.628,4,3.3,3.3,0.8,28,29,51,38.3,6.4,4.1,2.5,2
"Lance Kendricks",2500,3.49,3.97,2.61,2,3.12,2.979,2,2.9,2.9,0.7,29,25,46,30,3.7,3.6,2.2,2
"Scott Chandler",2500,3.3,3.22,3.59,2,3,3.419,2,3.1,2.9,0.7,30,25,35,30.4,2.4,3.6,2.2,2
