"name","recYds","recTds","rec"
"A.J. Green",83.1,0.5,6.1
"Aaron Dobson",7.1,0,0.6
"Adam Humphries",14.8,0,1
"Adam Thielen",4.1,0,0.3
"Albert Wilson",31.2,0,2.2
"Alshon Jeffery",75.8,0.5,5.6
"Amari Cooper",70.8,0.2,5.4
"Andre Caldwell",9.2,0,0.9
"Andre Holmes",14.7,0,1
"Andre Johnson",34.8,0,3
"Andrew Hawkins",22.8,0,1.8
"Anquan Boldin",53.6,0,4.5
"Antonio Brown",96.5,0.5,7.4
"Bennie Fowler",14.6,0,1.2
"Brandin Cooks",65.3,0.2,5.6
"Brandon Coleman",20.2,0,1.5
"Brandon LaFell",48.7,0,3.7
"Brandon Marshall",83.5,1,6.3
"Brandon Tate",7.2,0,0.5
"Brian Hartline",33.9,0,2.4
"Brian Quick",24.4,0,1.6
"Brice Butler",8.6,0,0.5
"Bruce Ellington",7,0,0.6
"Calvin Johnson",83.3,0.7,5.9
"Cameron Meredith",15.8,0,1.4
"Charles Johnson",22.2,0,1.8
"Chris Conley",21,0,1.8
"Chris Givens",12.7,0,0.9
"Chris Matthews",16.4,0,1.2
"Chris Owusu",13.6,0,1.1
"Cody Latimer",1.5,0,0.1
"Cole Beasley",21.6,0,2.2
"Cordarrelle Patterson",4.6,0,0.4
"Corey Brown",30.3,0,2.2
"Corey Fuller",13.2,0,0.9
"Danny Amendola",40.2,0.2,3.6
"Darrius Heyward-Bey",13.2,0,1.1
"Davante Adams",41.8,0,3.3
"De'Anthony Thomas",12.6,0,1.3
"DeAndre Hopkins",103.4,0.7,7.4
"Demaryius Thomas",83.9,0.5,6.5
"DeVante Parker",12.9,0,0.9
"Devin Funchess",21.6,0,1.6
"Devin Smith",10.8,0,0.8
"Devin Street",6.3,0,0.4
"Dez Bryant",56.6,0,4.3
"Donte Moncrief",54.3,0.2,4.3
"Donteea Dye",30.5,0,2.1
"Dontrelle Inman",10.7,0,0.7
"Dorial Green-Beckham",23.8,0,1.5
"Doug Baldwin",49,0.2,4
"Dwayne Bowe",9.5,0,0.8
"Dwayne Harris",25.6,0,2.1
"Eddie Royal",35.5,0,3.4
"Emmanuel Sanders",76.4,0.3,5.5
"Eric Decker",61.2,0.2,4.8
"Frankie Hammond",1.3,0,0.1
"Geremy Davis",2.5,0,0.2
"Golden Tate",59.8,0,4.8
"Greg Jennings",19.9,0,1.6
"Greg Little",3,0,0.2
"Griff Whalen",6.1,0,0.5
"Harry Douglas",24.9,0,2
"Jacoby Jones",4.4,0,0.3
"Jaelen Strong",24.9,0,1.8
"James Jones",55.3,0.5,4
"Jarius Wright",26,0,1.8
"Jaron Brown",9.2,0,0.7
"Jarvis Landry",66.4,0.3,6.2
"Jason Avant",15,0,1.5
"Jeff Janis",11.4,0,0.8
"Jeremy Kerley",25.4,0,2.3
"Jeremy Maclin",78.5,0.2,5.9
"Jermaine Kearse",40.9,0,2.9
"Jerome Simpson",10.8,0,0.8
"Jerricho Cotchery",24.3,0,2
"John Brown",56.9,0,3.9
"Jordan Norwood",17.3,0,1.6
"Josh Bellamy",6.3,0,0.5
"Julian Edelman",80,0.7,7.1
"Julio Jones",103.6,1,7.7
"Justin Hardy",17,0,1.4
"Justin Hunter",33.6,0,2.3
"Kamar Aiken",39.5,0,2.7
"Keenan Allen",89.8,0.5,7
"Keith Mumphery",16.9,0,1.5
"Kendall Wright",58.8,0.2,4.8
"Kenny Britt",40.8,0,2.7
"Kenny Stills",30.3,0,2.1
"Keshawn Martin",3.3,0,0.3
"Lance Moore",24.3,0,2
"Larry Fitzgerald",74.6,0.7,5.8
"Malcom Floyd",48.6,0.2,3.2
"Marc Mariani",1.6,0,0.1
"Markus Wheaton",31.7,0,2.1
"Marlon Brown",20.7,0,1.8
"Marques Colston",36.1,0,2.8
"Marquess Wilson",30.7,0,2.2
"Martavis Bryant",57.3,0.5,4
"Marvin Jones",48.1,0,3.8
"Michael Crabtree",55.8,0.2,4.9
"Michael Floyd",47.8,0.2,3.3
"Mike Evans",82.1,0.5,5.5
"Mike Wallace",54,0.2,4
"Mohamed Sanu",35.7,0,2.6
"Nate Washington",56.7,0,4
"Nick Williams",15.1,0,1.2
"Odell Beckham",84.3,0.8,6
"Quinton Patton",14.7,0,1.4
"Randall Cobb",65.8,0.5,5.2
"Ricardo Lockette",8.8,0,0.5
"Rishard Matthews",53.3,0.2,4.1
"Rod Streater",14.3,0,1.1
"Roddy White",41.2,0.2,3.5
"Rueben Randle",51.7,0,3.7
"Russell Shepard",16.7,0,1.2
"Seth Roberts",10.8,0,1
"Stedman Bailey",25.8,0,1.9
"Stefon Diggs",66.5,0.3,5.1
"Steve Johnson",47.5,0,3.8
"Steve Smith Sr.",72.6,0.7,5.4
"T.Y. Hilton",76.2,0.2,5.2
"Tavon Austin",35.8,0,3.3
"Taylor Gabriel",28.1,0,2.4
"Ted Ginn",54.8,0.5,3.6
"Terrance Williams",40.2,0,2.6
"Torrey Smith",44,0,2.5
"Travis Benjamin",63.2,0,4.4
"Ty Montgomery",15.8,0,1.6
"Tyler Lockett",32.9,0,2.4
"Victor Cruz",52.1,0,3.6
"Willie Snead",61.1,0.2,4.6
