"name","recYds","recTds","rec"
"Anthony Fasano",17.8,0,1.6
"Benjamin Watson",39.3,0,3.5
"Brandon Myers",23,0,2.3
"Brandon Pettigrew",9.4,0,0.9
"Brandon Williams",1.7,0,0.1
"C.J. Fiedorowicz",11.1,0,1.1
"Chase Ford",6.1,0,0.5
"Clive Walford",11.2,0,1
"Coby Fleener",33.5,0,2.9
"Cory Harkey",1.9,0,0.2
"Craig Stevens",4.2,0,0.4
"Crockett Gillmore",35.7,0,2.9
"Darren Fells",14.5,0.1,1.1
"David Johnson",1.3,0,0.1
"Delanie Walker",51.3,0.2,4.5
"Demetrius Harris",2.2,0,0.2
"Dion Sims",15.4,0,1.5
"Dwayne Allen",21.5,0,2
"Ed Dickson",13.4,0,1.3
"Eric Ebron",47.3,0.2,3.9
"Garrett Celek",13.7,0,1.3
"Garrett Graham",18.7,0,1.7
"Gary Barnidge",51.7,0.2,4
"Gavin Escobar",9.9,0,1
"Greg Olsen",63.9,0.3,5.2
"Heath Miller",35.4,0,3.4
"Jack Doyle",3.1,0,0.4
"Jacob Tamme",29.5,0,2.6
"Jake Stoneburner",10.2,0.1,1.1
"James Hanna",2.3,0,0.2
"James O'Shaughnessy",14.1,0,1.3
"Jared Cook",32.7,0,3
"Jason Witten",48.6,0.2,4.5
"Jeff Cumberland",9.3,0,1
"Jermaine Gresham",19.8,0,2
"Jesse James",0.3,0,0
"Jim Dray",9.6,0,0.9
"Jimmy Graham",52.8,0.4,4.4
"John Phillips",13,0,1.2
"Jordan Cameron",37.8,0,3.4
"Joseph Fauria",0.7,0,0.1
"Josh Hill",16.2,0,1.5
"Kellen Davis",6.4,0,0.6
"Kyle Rudolph",26.5,0,2.7
"Ladarius Green",46.3,0.2,3.8
"Lance Kendricks",15.7,0,1.5
"Larry Donnell",36,0,3.7
"Lee Smith",7.1,0,0.8
"Levine Toilolo",10.5,0,1.1
"Luke Stocker",4.3,0,0.4
"Luke Willson",16.9,0,1.5
"Malcolm Johnson",1.4,0,0.2
"Martellus Bennett",54.1,0.2,5.3
"Matt Spaeth",3.6,0,0.3
"Maxx Williams",17.4,0,1.7
"Michael Hoomanawanui",6,0,0.7
"Mychal Rivera",20.2,0,2.1
"MyCole Pruitt",2.8,0,0.2
"Nick Boyle",10.5,0,1.1
"Owen Daniels",27.1,0,2.6
"Rhett Ellison",10.1,0,1.1
"Richard Rodgers",30.7,0,3.1
"Rob Gronkowski",75,1,5.8
"Rob Housler",12.7,0,1.2
"Ryan Hewitt",5.8,0,0.6
"Scott Chandler",16.5,0,1.4
"Timothy Wright",1.2,0,0.1
"Travis Kelce",57.6,0.2,4.9
"Troy Niklas",4.9,0,0.4
"Tyler Eifert",55.5,0.6,5.1
"Tyler Kroft",0.9,0,0.1
"Vance McDonald",6.9,0,0.8
"Vernon Davis",34.8,0,2.7
"Virgil Green",10,0,0.9
"Zach Miller",2.3,0,0.2
