"name","recYds","recTds","rec"
"A.J. Green",88.6,0.3,6.8
"Aaron Dobson",15.1,0,1.2
"Albert Wilson",27,0,2.2
"Allen Hurns",61.2,0.2,4.7
"Allen Robinson",70.3,0.3,5
"Alshon Jeffery",70.4,0,5.5
"Andre Caldwell",12.4,0,1
"Andre Johnson",43.3,0,3.3
"Andrew Hawkins",35.5,0,3.2
"Anquan Boldin",58.3,0.2,4.7
"Antonio Brown",84.2,0.3,6.3
"Bennie Fowler",13.4,0,1.1
"Brandin Cooks",67.5,0.2,5.5
"Brandon Coleman",30,0,2.1
"Brandon Marshall",78.7,0.5,6
"Brian Hartline",29.4,0,2
"Bruce Ellington",13.4,0,1
"Calvin Johnson",83.4,0.5,5.9
"Cameron Meredith",33.5,0,2.9
"Cecil Shorts",42.7,0,3.6
"Chris Givens",17.9,0,1.2
"Chris Hogan",27.7,0.2,2.3
"Chris Matthews",19.7,0,1.4
"Cordarrelle Patterson",14.8,0,1.3
"Corey Brown",25.2,0,1.9
"Corey Fuller",18.5,0,1.1
"Danny Amendola",35,0,3.2
"Darrius Heyward-Bey",18.5,0,1.6
"De'Anthony Thomas",15.3,0,1.6
"DeAndre Hopkins",101.5,0.5,7.4
"Demaryius Thomas",84,0.7,6.4
"DeVante Parker",17.9,0,1.4
"Devin Funchess",20.7,0,1.6
"Devin Smith",23,0,1.7
"Donte Moncrief",56.4,0,4.2
"Dorial Green-Beckham",24.9,0,1.7
"Doug Baldwin",50,0,3.9
"Dwayne Harris",26.2,0,2.2
"Eddie Royal",37.4,0,3.5
"Emmanuel Sanders",78,0.3,5.9
"Eric Decker",58.1,0.5,4.6
"Golden Tate",59.9,0,4.8
"Greg Jennings",15.1,0,1.4
"Harry Douglas",24.1,0,2
"Jaelen Strong",22.5,0,1.7
"James Jones",64.7,1,4.3
"Jamison Crowder",42.8,0,3.7
"Jarius Wright",28.2,0,2
"Jaron Brown",22.7,0,1.6
"Jarvis Landry",61.6,0.2,5.9
"Jason Avant",14.6,0,1.6
"Jeremy Kerley",18.3,0,1.7
"Jeremy Maclin",71.9,0.2,5.6
"Jermaine Kearse",42.1,0,2.9
"Jerricho Cotchery",28.4,0,2.4
"John Brown",65.9,0.2,4.7
"Jordan Matthews",65.3,0.2,5.2
"Jordan Norwood",21.2,0,1.8
"Josh Huff",22.8,0,1.9
"Julian Edelman",80.3,0.5,7.3
"Julio Jones",91.8,0.8,6.8
"Justin Hunter",31.5,0,2.1
"Kamar Aiken",45.3,0,3.4
"Keenan Allen",77,0.3,6
"Kendall Wright",55.8,0.2,4.5
"Kenny Stills",30.5,0,2.2
"Lance Moore",25.3,0,2.1
"Larry Fitzgerald",80.3,0.8,6.4
"Leonard Hankerson",49.9,0.2,3.9
"Malcom Floyd",43.1,0,2.8
"Markus Wheaton",25,0,1.6
"Marlon Brown",23.6,0,2
"Marquess Wilson",29.5,0,2.2
"Martavis Bryant",46.2,0.2,2.9
"Marvin Jones",46.4,0,3.8
"Michael Floyd",38.8,0,2.7
"Mike Wallace",55.9,0.2,4
"Miles Austin",19.6,0,1.4
"Mohamed Sanu",33.9,0,2.8
"Odell Beckham",82.7,0.7,6
"Percy Harvin",33.9,0,3.8
"Phillip Dorsett",25,0,1.7
"Pierre Garcon",57.2,0,4.8
"Quinton Patton",16.9,0,1.5
"Randall Cobb",78.9,1,5.6
"Riley Cooper",28.8,0,2.1
"Rishard Matthews",49,0,3.8
"Robert Woods",40.9,0,3.2
"Roddy White",34.3,0,2.7
"Rueben Randle",46.4,0,3.4
"Ryan Grant",23.9,0,1.9
"Sammy Watkins",48.8,0,3.9
"Stefon Diggs",46.4,0,3.5
"Steve Smith Sr.",63,0.3,4.6
"T.Y. Hilton",83.3,0.3,5.7
"Taylor Gabriel",25.1,0,2.1
"Ted Ginn",46.5,0,3.5
"Torrey Smith",44.7,0,2.5
"Travis Benjamin",61.2,0.2,4
"Ty Montgomery",42.5,0,3.2
"Tyler Lockett",26.8,0,2.1
"Willie Snead",66.9,0.2,5.2
