"name","recYds","recTds","rec"
"Anthony Fasano",15.6,0,1.3
"Antonio Gates",55.4,0.4,5
"Benjamin Watson",33.8,0,3
"Brandon Pettigrew",18.6,0,1.8
"Brent Celek",16.7,0,1.4
"C.J. Fiedorowicz",13.5,0,1.3
"Charles Clay",50.5,0.2,4.6
"Coby Fleener",34.9,0,2.9
"Crockett Gillmore",31,0.2,2.5
"Darren Fells",21.4,0,2
"Delanie Walker",44.5,0.2,3.9
"Derek Carrier",26.9,0,2.5
"Dion Sims",15.2,0,1.4
"Dwayne Allen",28.6,0.2,2.6
"Ed Dickson",14.4,0,1.4
"Garrett Celek",16.5,0,1.6
"Garrett Graham",18.8,0,1.8
"Gary Barnidge",48.3,0.2,3.7
"Greg Olsen",57.5,0.2,4.9
"Heath Miller",31.6,0,3.1
"Jacob Tamme",31.4,0,2.7
"Jake Stoneburner",15.5,0.1,1.6
"James O'Shaughnessy",13.4,0,1.3
"Jermaine Gresham",15.6,0,1.6
"Jim Dray",17.7,0,1.6
"Jimmy Graham",49.8,0.4,4.1
"Jordan Cameron",39.1,0.2,3.4
"Josh Hill",16.6,0,1.6
"Julius Thomas",44.3,0,4
"Kellen Davis",22.6,0,2
"Kyle Rudolph",33.5,0,3.3
"Ladarius Green",33.7,0,2.8
"Larry Donnell",37,0.2,3.8
"Luke Willson",17.1,0,1.5
"Marcedes Lewis",13,0,1.2
"Martellus Bennett",49.7,0.3,5.1
"Maxx Williams",13.1,0,1.3
"Nick Boyle",22.4,0,2.5
"Owen Daniels",24.7,0,2.3
"Rhett Ellison",17.1,0,1.6
"Richard Rodgers",36.6,0,3.6
"Rob Gronkowski",73.4,1,5.5
"Rob Housler",17.7,0,1.6
"Scott Chandler",17.7,0,1.6
"Timothy Wright",31.8,0,2.7
"Travis Kelce",57,0.2,5
"Tyler Eifert",58.5,0.7,5.3
"Vance McDonald",11.9,0,1.2
"Vernon Davis",28.6,0,2.3
"Virgil Green",15.7,0,1.6
"Zach Ertz",36.9,0,3.1
