"name","recYds","recTds","rec"
"Adrian Peterson",20,0,2.5
"Ahmad Bradshaw",13.6,0,1.6
"Alfred Blue",7,0,0.9
"Alfred Morris",8.1,0,1.2
"Ameer Abdullah",20.9,0,2.5
"Andre Ellington",16.4,0,1.9
"Andre Williams",3.2,0,0.5
"Anthony Dixon",6.8,0,0.8
"Antonio Andrews",15.4,0,1.7
"Arian Foster",31.5,0,3.7
"Bilal Powell",17.9,0,2.4
"Bishop Sankey",10.9,0,1.3
"Bruce Miller",13.2,0,1.3
"C.J. Anderson",13.9,0,1.9
"C.J. Spiller",25.5,0,2.8
"Carlos Hyde",9.9,0,1.5
"Charcandrick West",20.9,0,3.1
"Chris Ivory",10,0,1.3
"Chris Johnson",12.6,0,1.6
"Chris Thompson",24.2,0,3.2
"Damien Williams",9.2,0,1.3
"Dan Herron",8,0,1.2
"Danny Woodhead",33.3,0,3.7
"Darren Sproles",23.2,0,2.6
"David Johnson",16.7,0,1.7
"DeMarco Murray",24.9,0,3.5
"Denard Robinson",11.3,0,1.4
"Devonta Freeman",38.3,0,4.1
"Dexter McCluster",17.2,0,1.9
"Dion Lewis",38.8,0.2,4.6
"Duke Johnson",26.5,0,3.2
"Eddie Lacy",15.8,0,1.9
"Frank Gore",12.6,0,1.7
"Giovani Bernard",25,0,3.7
"Isaiah Crowell",13.3,0,1.3
"James Starks",10.9,0,1.3
"Jarryd Hayne",5.7,0,0.9
"Javorius Allen",7.3,0,1.1
"Jeremy Hill",6.6,0,1
"Jeremy Langford",5.8,0,0.9
"Jerick McKinnon",5,0,0.9
"Joique Bell",13.4,0,1.7
"Jonas Gray",4.8,0,0.6
"Jonathan Stewart",9.8,0,1.5
"Josh Robinson",6.3,0,0.9
"Justin Forsett",20.1,0,3
"Juwan Thompson",7.3,0,1.1
"Khiry Robinson",11.6,0,1.6
"Knile Davis",8.3,0,1.2
"Kyle Juszczyk",12.5,0,1.6
"Lamar Miller",17.3,0,2.2
"Le'Veon Bell",33,0,4.1
"LeGarrette Blount",8.9,0,1.1
"LeSean McCoy",17.8,0,2.4
"Mark Ingram",25.1,0,3.1
"Marshawn Lynch",20.3,0,2.5
"Matt Forte",34.3,0,4.2
"Melvin Gordon",15.2,0,2
"Mike Davis",9.2,0,1.2
"Mike Tolbert",10.1,0,1.4
"Rashad Jennings",18.7,0,2.3
"Ronnie Hillman",11.6,0,1.5
"Ryan Mathews",13,0,1.6
"Shane Vereen",31.9,0.2,3.5
"Tevin Coleman",8.1,0,1.1
"Theo Riddick",31.7,0,3.7
"Thomas Rawls",4.8,0,0.7
"Toby Gerhart",9.7,0,1.2
"Zac Stacy",6,0,0.9
"Zach Zenner",8.7,0,1.3
