"name","passYds","passTds","passComp"
"Alex Smith",230.5,1,25.6
"Andrew Luck",289.6,2.2,29.2
"Ben Roethlisberger",136.2,1,12.7
"Blake Bortles",258.9,1.7,28.4
"Brian Hoyer",257.8,1.2,26.5
"Cam Newton",237,1.3,24.7
"Carson Palmer",297.1,2.2,27.4
"Colin Kaepernick",208.3,1,22.2
"Derek Carr",232.5,1.2,25.9
"Drew Brees",314.7,1.8,31.9
"EJ Manuel",213.5,1,22.7
"Eli Manning",278.7,2,29.4
"Jameis Winston",229.1,1.2,23.5
"Joe Flacco",259.6,1.5,29.2
"Josh McCown",248.4,1.2,25.8
"Kirk Cousins",239.4,1.2,25.6
"Landry Jones",155.3,1,16
"Marcus Mariota",39.5,0,3
"Matt Cassel",206,1.3,22.5
"Matt Ryan",280.5,2,29
"Matthew Stafford",278.7,1.8,29.9
"Nick Foles",209.3,1.3,22.4
"Philip Rivers",310.6,2,30.2
"Russell Wilson",233.3,1.2,22.8
"Ryan Fitzpatrick",231.3,1.5,24.7
"Ryan Tannehill",259.1,2,28.4
"Sam Bradford",251.8,1.4,29.2
"Teddy Bridgewater",224.6,1,23.7
"Tom Brady",291.3,2.2,29.5
"Zach Mettenberger",219.7,1.2,22.5
