"name","recYds","recTds","rec"
"Adrian Peterson",18.6,0,2.5
"Ahmad Bradshaw",14.5,0,1.7
"Alfred Blue",6.1,0,0.9
"Alfred Morris",7,0,1
"Ameer Abdullah",19.8,0,2.6
"Andre Ellington",15.2,0,1.6
"Andre Williams",3.3,0,0.5
"Anthony Dixon",6.2,0,0.8
"Anthony Sherman",4.7,0,0.6
"Antonio Andrews",16.6,0,1.9
"Arian Foster",32.3,0,4
"Austin Johnson",2.4,0,0.4
"Benny Cunningham",21.9,0,2.7
"Bernard Pierce",0.7,0,0.1
"Bilal Powell",11.2,0,1.6
"Bishop Sankey",11.6,0,1.4
"Bobby Rainey",3.7,0,0.4
"Branden Oliver",10,0,1.1
"Brandon Bolden",1.7,0,0.2
"Bruce Miller",8.1,0,0.7
"Bryce Brown",0,0,0
"C.J. Spiller",23.5,0,2.8
"Cameron Artis-Payne",2.5,0,0.4
"Carlos Hyde",9.5,0,1.5
"Charcandrick West",18.9,0,2.8
"Charles Sims",27.1,0,2.7
"Chase Reynolds",0.6,0,0.1
"Chris Ivory",12.2,0,1.5
"Chris Johnson",12.2,0,1.5
"Chris Polk",8.8,0,1.1
"Chris Thompson",22.7,0,2.9
"Christine Michael",9.5,0,1.2
"Damien Williams",7.8,0,1.1
"Dan Herron",5,0,0.7
"Danny Woodhead",35.1,0,3.9
"Darrel Young",3.1,0,0.4
"Darren McFadden",25.6,0,3.1
"Darren Sproles",21.6,0,2.5
"David Johnson",16.7,0,1.7
"DeAngelo Williams",5.7,0,0.7
"DeMarco Murray",24.7,0,3.6
"Denard Robinson",9.2,0,1.1
"Devonta Freeman",37.1,0,4.1
"Dexter McCluster",19.1,0,2.3
"Dion Lewis",37.1,0.2,4.6
"Donald Brown",3.5,0,0.5
"Doug Martin",17.3,0,2.2
"Dri Archer",1.4,0,0.2
"Duke Johnson",27.7,0,3.3
"Fitzgerald Toussaint",0,0,0
"Fozzy Whittaker",7,0,0.9
"Frank Gore",12.8,0,1.6
"Fred Jackson",12,0,1.5
"George Winn",2.8,0,0.4
"Isaiah Crowell",13.6,0,1.3
"Isaiah Pead",0,0,0
"Jalston Fowler",3.2,0,0.3
"James White",2.9,0,0.4
"Jamize Olawale",1.7,0,0.2
"Jarryd Hayne",1.3,0,0.3
"Javorius Allen",5.8,0,0.8
"Jay Prosch",2.6,0,0.3
"Jerick McKinnon",4.6,0,0.8
"Jerome Felton",1.8,0,0.3
"Joique Bell",14.3,0,1.8
"Jonas Gray",3.3,0,0.4
"Jonathan Grimes",3.9,0,0.6
"Jonathan Stewart",8.4,0,1.3
"Jordan Todman",1,0,0.1
"Jorvorskie Lane",0.5,0,0.1
"Joseph Randle",16.1,0,2.1
"Josh Robinson",5.5,0,0.7
"Justin Forsett",24.6,0,3.6
"Kenjon Barner",0.1,0,0
"Khiry Robinson",7.9,0,1.1
"Knile Davis",8.1,0,1.1
"Kyle Juszczyk",10.9,0,1.4
"Lamar Miller",17.8,0,2.3
"LaMichael James",0,0,0
"Latavius Murray",21.2,0,3
"Le'Veon Bell",33.9,0.2,4.1
"LeGarrette Blount",8.9,0,1.1
"LeSean McCoy",20.9,0,2.7
"Marcel Reece",20,0,2.1
"Marcus Murphy",0.6,0,0.1
"Marcus Thigpen",0,0,0
"Mark Ingram",23.6,0,3
"Marshawn Lynch",20.3,0,2.6
"Matt Asiata",6.9,0,0.9
"Matt Jones",11.2,0,1.4
"Melvin Gordon",13.1,0,1.7
"Michael Burton",2.1,0,0.3
"Mike Davis",4.5,0,0.7
"Mike James",0.1,0,0
"Mike Tolbert",7.5,0,1
"Nikita Whitlock",1,0,0.1
"Orleans Darkwa",0.7,0,0.1
"Patrick DiMarco",4.9,0,0.6
"Raheem Mostert",1.4,0,0.2
"Rashad Jennings",20.8,0,2.7
"Reggie Bush",11,0,1.5
"Robert Turbin",6.4,0,0.9
"Rod Smith",0.6,0,0.1
"Roosevelt Nix",0.1,0,0
"Roy Helu",16.2,0,2
"Ryan Mathews",12.3,0,1.6
"Shane Vereen",31.3,0,3.4
"Shaun Draughn",0,0,0
"Stepfan Taylor",1.5,0,0.2
"T.J. Yeldon",12.7,0,1.8
"Taiwan Jones",5.9,0,0.8
"Terrance West",1.6,0,0.2
"Terrence Magee",0,0,0
"Terron Ward",4,0,0.4
"Tevin Coleman",7.4,0,1
"Theo Riddick",32,0,3.9
"Thomas Rawls",4.5,0,0.7
"Tim Hightower",0,0,0
"Toby Gerhart",7.5,0,0.9
"Todd Gurley",15.3,0,1.8
"Tommy Bohanon",3.1,0,0.4
"Travaris Cadet",0,0,0
"Tre Mason",5.3,0,0.7
"Tyler Clutts",2,0,0.4
"Will Johnson",2.7,0,0.5
"Will Tukuafu",0.1,0,0
"Zac Stacy",7.7,0,1.1
"Zach Line",1.6,0,0.3
