"name","cbs_team","cbs_rushatt","cbs_rushyd","cbs_rushtd","cbs_recpts","cbs_recyd","cbs_rectd","cbs_fl","cbs_fpts","espn_team","espn_rushatt","espn_rushyd","espn_rushtd","espn_recpts","espn_recyd","espn_rectd","espn_fpts","ffs_team","ffs_rushatt","ffs_rushyd","ffs_rushtd","ffs_recpts","ffs_recyd","ffs_rectd","ffs_fpts","fp_team","fp_rushatt","fp_rushyd","fp_rushtd","fp_recpts","fp_recyd","fp_rectd","fp_fl","fp_fpts","numfire_team","numfire_rank","numfire_rushatt","numfire_rushyd","numfire_rushtd","numfire_recpts","numfire_recyd","numfire_rectd","numfire_fpts"
"Darren Sproles","PHI",4.6,20.6,0.3,3.1,32.1,0.1,0.1,10.6," PHI",5.5,26.2,0.2,2.8,22.7,0.1,8.6,"PHI",4.13,18,0.29,2.63,21,0,9.63,"PHI",5.3,25.3,0.2,3.3,29.8,0.3,"0.1",11.6,"PHI","24",6.62,37.68,0.29,3.03,27.29,0.03,11.45
"David Johnson","ARI",3.6,12.3,0.2,1.9,20.4,0.2,0.2,7.16," ARI",4,17.9,0.2,1.3,14.1,0.1,5,"ARI",2.81,15,0.17,1.54,22,0.31,7.54,"ARI",3.5,14.6,0.1,1.6,15,0.1,"0.1",5.6,"ARI","55",3.08,11.72,0.11,1.42,11.73,0.06,4.76
"DeMarco Murray","PHI",14.3,61.6,0.7,2.8,22.7,0.1,0.2,15.63," PHI",14.9,70.6,0.7,2.5,19.2,0.1,15.1,"PHI",18.22,73,0.53,3.1,23,0.21,22.1,"PHI",12.9,55.9,0.4,2.3,18.9,0.1,"0.2",12.6,"PHI","18",11.74,53.15,0.32,2.61,21.4,0.05,12.13
"Devonta Freeman","ATL",12.2,49.1,1,3.4,39,0.1,0.1,18.65," ATL",17.5,70.3,0.7,4,37.5,0.1,19,"ATL",11.37,45,0.95,3.15,33,0.03,20.15,"ATL",15.4,63.6,0.7,4,36.2,0.1,"0.1",18.7,"ATL","4",12.84,54.43,0.26,4.57,38.75,0.13,16
"Dexter McCluster","TEN",3.8,15.1,0.1,1.9,18.1,0,0.1,5.6," TEN",4.8,20,0.1,1.9,17.1,0.1,6.1,"TEN",3.04,14,0,1.69,15,0.04,6.69,"TEN",4.1,15.4,0.1,1.7,14.7,0,"0.1",5.3,"TEN","53",3.11,12.83,0.03,2,14.39,0.03,4.98
"Dion Lewis","NE",11.9,52.3,0.5,2.7,24.2,0.1,0.3,13.34," NE ",13.1,57.3,0.5,4.5,41.9,0.1,16.7,"NEP",7.84,35,0.4,3.06,32,0.03,13.06," NE",10.9,48,0.5,4,34.6,0.1,"0.2",15.6,"NE","7",7.61,37.22,0.21,4.13,36.07,0.24,14.08
"Doug Martin","TB",14.5,55.5,0.4,1.7,11,0,0.2,10.39," TB ",18,66.7,0.3,1.7,13.5,0,10.8,"TB",16.01,66,0.23,1.94,13,0,11.94," TB",16.2,62.4,0.5,1.8,13.5,0,"0.2",12.2,"TB","12",16.56,63.67,0.32,2.53,18.93,0.04,12.59
"Eddie Lacy","GB",16,71.4,0.5,2.5,22.4,0.1,0.1,15.28," GB ",18.6,84.6,0.5,2.6,17.9,0.1,15,"GB",11.76,53,0.35,1.57,15,0.07,10.57," GB",16.9,76.3,0.6,2.5,21,0.1,"0.1",15.9,"GB","6",14.83,65.47,0.3,3.06,28.45,0.02,14.33
"Frank Gore","IND",13.9,56,0.3,1.6,10.3,0,0.2,9.66," IND",17,68.5,0.5,2.2,17.9,0.1,12.2,"IND",11.13,47,0.31,1.49,9,0.04,8.49,"IND",15.1,59.5,0.5,1.8,13.7,0,"0.2",12.1,"IND","23",12.69,46.8,0.36,2.48,18.13,0.09,11.55
"Fred Jackson","SEA",6,33.1,0.2,1.9,17.2,0.1,0.1,8.52," SEA",3.2,13.5,0.1,0.8,6.3,0,2.2,"SEA",7.96,36,0.14,2.15,18,0.11,9.15,"SEA",4.1,19.7,0.1,1.6,13.2,0.1,"0.1",5.9,"SEA","49",2.78,13.16,0.14,1.94,14.37,0.05,5.85
"Giovani Bernard","CIN",12.4,48.6,0.3,3.2,22.8,0.1,0.1,12.52," CIN",11.9,43.7,0.4,3,22.9,0.1,11.5,"CIN",11.07,52,0.27,2.62,18,0.04,12.62,"CIN",11,43,0.3,2.9,21.1,0.1,"0.1",11.2,"CIN","26",11.83,43.39,0.34,2.83,18.03,0.07,11.07
"Isaiah Crowell","CLE",14,56.8,0.4,1.3,17.9,0,0.1,10.94," CLE",13.7,53.2,0.2,1.1,8.9,0,7.5,"CLE",9.52,37,0.34,0.87,11,0.01,6.87,"CLE",12.8,49.4,0.3,1.3,12.6,0,"0.1",8.9,"CLE","30",10.84,43.83,0.36,1.85,16.43,0.06,10.04
"James Starks","GB",8.3,35.3,0.2,1.4,9.8,0.1,0.2,7.32," GB ",6.4,28.4,0.1,0.9,7.2,0,3.7,"GB",5.28,20,0.05,0.86,6,0.02,4.86," GB",6.8,27.9,0.1,1.3,10.4,0,"0.1",6.1,"GB","44",7.91,28.88,0.23,1.73,12.11,0,7.09
"Javorius Allen","BAL",4.2,17.5,0.2,0.6,4.6,0,0.1,3.783," BAL",8.4,37.2,0.3,1.2,9.8,0,6,"BAL",2.95,11,0,0.55,2,0,2.55,"BAL",5.6,23.8,0.2,1.2,8.9,0,"0.1",5.7,"BAL","50",4.26,17.37,0.13,1.75,13.06,0.05,5.81
"Jeremy Hill","CIN",13.1,48.3,0.7,1,6.9,0,0.5,9.703," CIN",13.6,53.1,0.5,0.9,6.7,0,8.6,"CIN",9.3,38,0.58,1.04,7,0.03,13.04,"CIN",12.6,49.6,0.4,1.2,8.5,0,"0.3",8.7,"CIN","13",13.06,53.81,0.28,2.81,23.12,0.04,12.43
"Joseph Randle","DAL",13.4,56.6,0.4,1.1,11.7,0,0.1,10.15," DAL",13.4,62.8,0.5,1.5,12.2,0,11.3,"DAL",16.57,76,1.01,1.91,17,0.01,18.91,"DAL",14.3,60.6,0.6,1.7,13.7,0,"0.1",12.5,"DAL","16",15.51,66.48,0.42,1.66,12.69,0.04,12.16
"Josh Robinson","IND",6.3,26,0.2,1.6,12.2,0,0.1,6.46," IND",4.9,18.6,0.2,0.9,7.1,0,2.9,"IND",5.03,16,0.05,1.35,9,0.03,5.35,"IND",4.6,18.4,0.1,1.1,7.6,0,"0.1",4.2,"IND","54",4.56,17.32,0.09,1.48,9.76,0.02,4.83
"Justin Forsett","BAL",14.2,62.9,0.3,2.5,13,0.1,0.1,12.26," BAL",18.8,94.6,0.5,2.7,21,0.1,17,"BAL",16.63,79,0.23,2.89,15,0.05,14.89,"BAL",17.8,79.7,0.6,2.8,18.4,0.1,"0.1",16.2,"BAL","8",13.43,66.75,0.53,2.2,16.24,0.06,13.94
"Latavius Murray","OAK",16.8,63.3,0.6,2.9,16.1,0.1,0.2,14.63," OAK",15.6,62.8,0.3,3.1,24.2,0.1,13.2,"OAK",14.38,64,0.4,2.96,21,0,14.96,"OAK",15.7,61.8,0.5,2.8,19.9,0.1,"0.2",14.1,"OAK","20",13.76,52.92,0.2,2.85,21.06,0.09,11.91
"Le'Veon Bell","PIT",18.6,91.2,0.5,4.6,39.8,0.1,0.1,21.11," PIT",19.3,90.3,0.7,4.5,36.3,0.2,21.8,"PIT",21.54,93,0.81,5.33,48,0.08,30.33,"PIT",20.2,93,0.7,4.7,38.2,0.1,"0.2",22.5,"PIT","1",18.35,81.42,0.51,5.75,48.77,0.24,22.97
"LeGarrette Blount","NE",9,43.4,0.6,1.5,9.3,0.1,0.1,10.75," NE ",9.1,40.6,0.4,0.3,2.6,0,6.9,"NEP",11.22,47,0.79,1.84,16,0.04,15.84," NE",11.2,49.6,0.6,0.9,7.4,0,"0.1",10.1,"NE","14",10.75,49.86,0.28,2.63,23.31,0.13,12.33
"Mark Ingram","NO",11.3,46.4,0.3,3.1,28.2,0,0.3,11.81," NO ",14.8,52.8,0.4,3.9,28.8,0.1,13.9,"NO",14.69,62,0.56,3.56,27,0,22.56," NO",13.7,53.7,0.5,3.4,25.4,0.1,"0.2",14.3,"NO","10",13.69,53.89,0.36,3.18,18.22,0.05,12.65
"Matt Forte","CHI",15.5,74.4,0.3,4.4,37.1,0.1,0.2,17.53," CHI",20.5,81.4,0.5,3.7,33.7,0.2,18.8,"CHI",16.19,68,0.31,4.32,37,0.16,19.32,"CHI",17.5,74.9,0.3,4.4,35.4,0.3,"0.2",19,"CHI","3",16.79,74.75,0.31,4.95,39.95,0.18,19.26
"Matt Jones","WAS",9.7,47.4,0.4,1.2,9.4,0,0.4,8.5," WSH",9.5,44.2,0.4,1.3,9.8,0,7.8,"WAS",10.11,43,0.31,1.43,12,0.02,8.43,"WAS",10.3,45.6,0.5,1.9,14.1,0,"0.3",10.3,"WSH","21",11.35,47.51,0.2,2.74,22.28,0.16,11.8
"Melvin Gordon","SD",15.4,63.1,0.3,2.2,17.7,0.1,0.1,12.52," SD ",15.1,60.6,0.3,1.2,9.8,0.1,9.1,"SD",12.43,50,0.16,2.15,15,0.04,11.15," SD",14.3,57.6,0.3,1.7,14.2,0.1,"0.1",10.7,"SD","19",11.86,43.69,0.25,3.14,25.6,0.1,11.99
"Rashad Jennings","NYG",12.2,41.3,0.3,2.6,27.7,0.2,0.1,12.27," NYG",10.5,42.4,0.4,1.6,12.5,0.1,9.2,"NYG",8.24,29,0.21,1.49,14,0.07,6.49,"NYG",10.6,40.7,0.3,2.1,17,0.1,"0.1",9.8,"NYG","29",10.23,45,0.34,2.02,13.82,0.04,10.07
"Reggie Bush","SF",6.2,26.6,0.1,1.9,15.1,0.1,0.1,7.07," SF ",4.3,16.9,0.1,2.6,21.7,0.1,6.3,"SFO",5.59,16,0.09,1.57,9,0.03,6.57," SF",4,16.2,0.1,2.2,17.1,0.1,"0.1",6,"SF","59",5.63,19.44,0.05,1.13,6.74,0.03,4.07
"Ronnie Hillman","DEN",9,37.1,0.4,1.4,9.6,0.1,0.1,8.91," DEN",12,47.8,0.4,1.4,12.1,0.1,9.1,"DEN",10.1,47,0.32,1.22,8,0.04,8.22,"DEN",11.8,50.6,0.5,1.5,10,0,"0.1",10.4,"DEN","41",8.87,38.34,0.19,1.5,10.59,0,7.39
"Ryan Mathews","PHI",7,32.9,0.4,2.3,23.2,0.3,0.4,11.32," PHI",5.8,27,0.2,0.7,5.7,0,3.8,"PHI",7.38,31,0.34,1.24,9,0.13,6.24,"PHI",7,30.9,0.2,1.4,12,0.1,"0.2",7,"PHI","39",9.34,39.53,0.21,1.56,12.43,0.03,8.12
"Shane Vereen","NYG",4.8,16.6,0.1,3.6,38.1,0.1,0.1,10.05," NYG",5,21.2,0.2,2.7,26.9,0.2,8.5,"NYG",5.97,23,0.04,2.75,25,0.02,10.75,"NYG",4.9,20.7,0.1,3.2,27.6,0.1,"0.1",9.1,"NYG","36",5,23.72,0.2,2.62,20.02,0.03,8.33
"T.J. Yeldon","JAC",16.6,63,0.4,2.8,15.7,0.1,0.1,13.5," JAX",17.7,68.8,0.5,2.3,18,0.1,12.6,"JAC",15.23,56,0.08,2.24,12,0,11.24,"JAC",16.5,64.7,0.5,2.5,16.5,0.1,"0.1",13.9,"JAC","22",12.4,52.49,0.24,2.62,21.02,0.07,11.67
"Tevin Coleman","ATL",7.7,31.1,0.5,1.1,9.6,0,0.1,7.96," ATL",8.9,35.8,0.3,0.8,6.6,0,5.9,"ATL",6.25,23,0.17,1.1,8,0.04,5.1,"ATL",6.9,28.6,0.2,1.2,9.4,0,"0.1",6.4,"ATL","37",7.87,32.03,0.15,2.31,13.75,0.09,8.27
"Theo Riddick","DET",3.5,10.4,0.1,3,27.7,0.2,0.1,8.38," DET",1.3,4.5,0,5.2,44.6,0.2,10.4,"DET",3.6,14,0.1,3.57,32,0.27,12.57,"DET",2,7.1,0,4,32.2,0.1,"0.1",8.7,"DET","43",2.27,7.5,0.07,3.28,24.73,0.07,7.26
"Thomas Rawls","SEA",11.8,58.9,0.2,1.9,14.9,0.1,0.1,10.89," SEA",15.5,65.7,0.3,2.4,19.6,0.1,11.1,"SEA",3.81,13,0,0.69,5,0.15,3.69,"SEA",14.4,60.2,0.5,1.7,14.3,0,"0.1",12,"SEA","25",11.1,45.3,0.38,2.3,18.94,0.04,11.24
"Todd Gurley","STL",14.6,78.6,0.4,1.6,12.5,0.1,0.1,13.5," STL",15.5,69.3,0.4,2.6,20.8,0.1,13.3,"STL",20,118,1,5,35,0.02,31,"STL",15.4,70.1,0.3,2.2,18.2,0.1,"0.1",13.3,"STL","9",13.06,61.56,0.38,2.41,21.81,0.06,13.17
