"name","cbs_team","cbs_recpts","cbs_yd","cbs_avg","cbs_td","cbs_fl","cbs_fpts","espn_team","espn_recpts","espn_yd","espn_td","espn_fpts","fftoday_team","fft_recpts","fft_yd","fft_td","fft_fpts","ffs_team","ffs_recpts","ffs_yd","ffs_td","ffs_fpts"
"Stedman Bailey","STL",3,45.9,15.5,0.1,0,8.16," STL",2.7,35,0.2,6.8,NA,NA,NA,NA,NA,"STL",2.92,42,0.04,7.92
"Stefon Diggs","MIN",0,0.7,13.5,0,0,0.118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MIN",0,0,0,0
"Steve Johnson","SD",4.2,46.4,11.2,0.4,0,11.19," SD ",4.3,57.2,0.3,11.2,NA,NA,NA,NA,NA,"SDC",3.09,37,0.42,7.09
"Steve Smith Sr.","BAL",5.4,67.6,12.5,0.4,0.1,14.36," BAL",4.8,64.8,0.4,13,NA,NA,NA,NA,NA,"BAL",5.06,67,0.29,12.06
"T.J. Jones","DET",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DET",0,0,0,0
"T.Y. Hilton","IND",5.6,81.4,14.5,0.3,0,15.54," IND",4.6,62.6,0.4,13.2,NA,NA,NA,NA,NA,"IND",5.44,81,0.26,13.44
"Tavon Austin","STL",3.1,27.1,8.8,0.1,0,6.38," STL",2.5,27.1,0.2,8.3,NA,NA,NA,NA,NA,"STL",2.26,18,0.02,5.26
"Taylor Gabriel","CLE",2.5,36.3,14.8,0.1,0,6.69," CLE",0.9,12.7,0.1,2.3,NA,NA,NA,NA,NA,"CLE",1.82,26,0.04,4.82
"Ted Ginn","CAR",3.5,56.2,15.8,0.4,0.2,11.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Terrance Williams","DAL",3.3,63.9,19.1,0.6,0,13.33," DAL",3.5,51.4,0.3,10.6,NA,NA,NA,NA,NA,"DAL",3.5,61,0.89,15.5
