"name","cbs_fpts","espn_fpts","ffs_fpts","fp_fpts","numfire_fpts","hodges.lehmann","mean","risk","Ceiling","Floor","Tier","rank"
"DeAndre Hopkins",18.62,17.7,17,19,20.13,18.6,18.5,1.1,19.6,17.4,7,1
"A.J. Green",17.98,18.1,21.02,18.3,16.7,18.1,18.4,1.4,19.8,17,7,2
"Julian Edelman",18.87,18.8,15.04,19,19.02,18.9,18.3,1.6,19.9,16.7,7,3
"Calvin Johnson",17.56,17.2,21.28,17.3,16.91,17.4,17.9,1.6,19.5,16.3,7,4
"Demaryius Thomas",17.65,18.4,13.81,18.7,20.16,18.2,17.8,2.1,19.9,15.7,7,5
"Odell Beckham",15.72,18.8,19.81,17.9,16.75,17.8,17.8,1.4,19.2,16.4,7,6
"Randall Cobb",18.04,17.1,16.29,17.9,19.3,17.8,17.7,1,18.7,16.7,7,7
"Brandon Marshall",21.28,14,20.04,16.4,15.48,17.6,17.5,2.8,20.3,14.7,6,8
"Larry Fitzgerald",17.95,16.4,18.2,16.3,15.95,17.1,17,0.9,17.9,16.1,7,9
"Julio Jones",18.46,17.9,15.28,18,12.5,16.6,16.5,2.3,18.8,14.2,6,10
"Emmanuel Sanders",16.41,17.1,15.73,16.7,16.03,16.4,16.4,0.5,16.9,15.9,7,11
"Antonio Brown",15.95,16.7,16.7,15.7,14.43,15.9,15.9,0.8,16.7,15.1,7,12
"Keenan Allen",15.11,16.7,12.54,16.1,16.54,15.8,15.5,1.5,17,14,6,13
"Jeremy Maclin",15.59,16.4,13.8,15.7,14.84,15.3,15.3,0.9,16.2,14.4,6,14
"T.Y. Hilton",16.29,15.8,14.52,15.2,13,15.2,15,1.2,16.2,13.8,6,15
"Alshon Jeffery",13.87,15.3,14.97,13.9,15.37,14.6,14.7,0.7,15.4,14,6,16
"Brandin Cooks",16.25,13.9,14,15.1,13.35,14.5,14.5,1,15.5,13.5,6,17
"Allen Robinson",14.01,14.8,16.37,14,12.11,14.2,14.2,1.4,15.6,12.8,6,18
"Jordan Matthews",13.43,14.9,12.39,14.6,15.52,14.2,14.2,1.1,15.3,13.1,6,19
"Jarvis Landry",13.33,13.4,11.5,13.9,14.7,13.4,13.4,1.1,14.5,12.3,6,20
"Willie Snead",13.42,13.1,14,12.9,11.25,13.1,13,0.9,13.9,12.1,6,21
"James Jones",14.66,12.4,7.89,13.9,14.51,13.5,12.8,2.5,15.3,10.3,5,22
"Golden Tate",13.49,11.6,12.54,13.1,12.95,12.8,12.7,0.6,13.3,12.1,6,23
"Steve Smith Sr.",9.72,14.2,NA,NA,NA,12,12,2.2,14.2,9.8,5,24
"John Brown",15.18,11,8.17,12.7,11.86,11.9,11.8,2.3,14.1,9.5,5,25
"Travis Benjamin",9.77,11.7,15.84,11.2,11.17,11.4,11.8,2.1,13.9,9.7,5,26
"Anquan Boldin",11.8,11.3,11.12,11.8,11.71,11.5,11.5,0.3,11.8,11.2,5,27
"Eric Decker",14.93,11,9.02,12.1,10.37,11.2,11.4,2,13.4,9.4,5,28
"Kendall Wright",11.11,11.7,10.35,11.9,11.94,11.5,11.4,0.6,12,10.8,5,29
"Allen Hurns",13.26,10.7,7.03,12.2,11.78,11.4,11.1,2.2,13.3,8.9,5,30
"Mike Wallace",12.66,10.4,10.26,11.1,9.7,10.7,10.8,1,11.8,9.8,5,31
"Pierre Garcon",11.76,10.7,8.92,11.9,10.38,10.7,10.7,1.1,11.8,9.6,5,32
"Donte Moncrief",9.44,12.1,7.32,11.6,10.62,10.5,10.3,1.7,12,8.6,5,33
"Leonard Hankerson",12.41,10.1,5.24,11.6,11.7,10.9,10.3,2.6,12.9,7.7,4,34
"Ted Ginn",10.5,NA,NA,9.9,NA,10.2,10.2,0.3,10.5,9.9,5,35
"Doug Baldwin",11.22,10.4,10.17,10.2,7.77,10.2,10,1.2,11.2,8.8,5,36
"Rueben Randle",10,11.8,10.64,9.6,4.1,10,9.4,2.7,12.1,6.7,4,37
"Andre Johnson",11.56,9.8,6.28,9.9,9.04,9.5,9.3,1.7,11,7.6,4,38
"Sammy Watkins",7.96,9,6.9,10.6,12.04,9.3,9.3,1.8,11.1,7.5,4,39
"DeSean Jackson",11.62,NA,8.41,9.3,7.27,9.1,9.1,1.6,10.7,7.5,4,40
