"name","cbs_team","cbs_recpts","cbs_yd","cbs_td","cbs_fl","cbs_fpts","espn_team","espn_recpts","espn_yd","espn_td","espn_fpts","ffs_team","ffs_recpts","ffs_yd","ffs_td","ffs_fpts","fp_team","fp_rushatt","fp_rushyd","fp_rushtd","fp_recpts","fp_recyd","fp_rectd","fp_fl","fp_fpts","numfire_team","numfire_rank","numfire_rushatt","numfire_rushyd","numfire_rushtd","numfire_recpts","numfire_recyd","numfire_rectd","numfire_fpts"
"A.J. Green","CIN",5.8,81.7,0.5,0.1,16.77," CIN",4.9,71.1,0.4,14.2,"CIN",5.44,84,0.53,24.44,"CIN",0.1,0.7,0,5.9,77.8,0.6,"0.1",17.2,"CIN","8",0.07,0.77,0,5.6,82.38,0.48,16.7
"Aaron Dobson","NE",1.6,17.7,0.1,0,3.92," NE ",1.8,23.4,0.2,4.8,NA,NA,NA,NA,NA," NE",0,0,0,2.2,27.9,0.2,"0.0",5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albert Wilson","KC",1.8,24,0.1,0,4.81,NA,NA,NA,NA,NA,"KC",1.42,18,0,4.42," KC",0,0,0,0.9,11.3,0,"0.0",2.2,"KC","56",0,0,0,2.35,29.76,0.08,5.75
"Allen Hurns","JAC",5.1,65.6,0.5,0.1,14.46," JAX",3.6,47.6,0.3,9.1,"JAC",3.88,51,0.31,12.88,"JAC",0,0,0,4.6,56.4,0.3,"0.1",11.9,"JAC","28",0,0,0,4.23,57.1,0.32,11.78
"Allen Robinson","JAC",4.2,60.2,0.4,0,12.61," JAX",4.9,69.4,0.3,12.9,"JAC",4.8,74,0.43,16.8,"JAC",0,0,0,4.8,66.6,0.5,"0.0",14.3,"JAC","23",0,0,0,4.18,60.9,0.32,12.11
"Amari Cooper","OAK",4.6,65.7,0.3,0.1,12.74," OAK",5.7,64.1,0.3,13.7,"OAK",4.29,57,0.35,14.29,"OAK",0.1,0.3,0,5.4,69,0.5,"0.1",15.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andre Caldwell","DEN",1.2,14.5,0.1,0,3.24,NA,NA,NA,NA,NA,"DEN",2.52,25,0.05,8.52,"DEN",0,0,0,0.9,10.8,0.1,"0.0",2.4,"DEN","101",0,0,0,1.1,9.25,0.03,2.21
"Andre Holmes","OAK",1.4,17.4,0.2,0,4.34," OAK",0.8,11.9,0.1,2.2,"OAK",1.71,22,0.03,5.71,"OAK",0,0,0,1.2,16.1,0.1,"0.0",3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andre Johnson","IND",3,33.5,0.1,0.1,6.8," IND",2.7,28.7,0.2,5.8,"IND",2,21,0.11,6,"IND",0,0,0,1.9,23.6,0.1,"0.1",4.8,"IND","42",0,0,0,3.19,40.87,0.29,9.04
"Andre Roberts","WAS",3.3,43.7,0.1,0.1,8.07,NA,NA,NA,NA,NA,"WAS",2.95,40,0.12,9.95,"WAS",0,0.1,0,1.8,23.9,0.1,"0.1",4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrew Hawkins","CLE",2.6,34.5,0.1,0,6.66," CLE",3.2,32.7,0.1,6.9,"CLE",3.86,54,0.19,13.86,"CLE",0,0.1,0,2.7,30.1,0.1,"0.0",6.3,"CLE","65",0.05,0.67,0,2.02,22.22,0.14,5.13
"Anquan Boldin","SF",4.3,52.7,0.3,0,11.35," SF ",4.4,53.5,0.2,10.4,"SFO",4.74,57,0.29,15.74," SF",0,0,0,4.7,56.1,0.4,"0.0",12.8,"SF","29",0.02,0.02,0,4.27,56,0.3,11.71
"Antonio Brown","PIT",6.8,86.2,0.4,0.1,17.62," PIT",5.9,77.3,0.5,16.1,"PIT",6.95,94,0.56,28.95,"PIT",0.3,1.3,0,6.3,82.4,0.6,"0.1",18.2,"PIT","18",0.05,-0.12,0,4.74,71,0.45,14.43
"Bennie Fowler","DEN",1.3,16.4,0.1,0,3.56," DEN",1,10.7,0.1,2.3,"DEN",0.55,5,0,2.55,"DEN",0,0,0,1.3,15.9,0.1,"0.0",3.6,"DEN","76",0,0,0,1.46,19.17,0.16,4.32
"Brandin Cooks","NO",5.1,59,0.2,0,12.2," NO ",5.1,64.2,0.2,12.6,"NO",4.84,55,0.2,15.84," NO",0.4,3.1,0,5.3,60.9,0.4,"0.0",14.2,"NO","20",0.08,0.37,0,4.79,57.2,0.46,13.35
"Brandon Coleman","NO",2.3,30.9,0.2,0,6.58," NO ",1.5,21.3,0.1,4.1,"NO",1.8,25,0.12,6.8," NO",0,0,0,1.8,23,0.1,"0.0",4.7,"NO","87",0,0,0,1.31,18.33,0.1,3.7
"Brian Hartline","CLE",3,48.7,0.1,0,8.51," CLE",2.6,35.6,0.1,6.4,"CLE",2.36,33,0.1,7.36,"CLE",0,0,0,3,36.9,0.1,"0.0",7.2,"CLE","53",0,0,0,2.2,34.04,0.13,6.38
"Brian Quick","STL",2,31.4,0.2,0,6.32," STL",1.2,17.6,0.1,2.9,"STL",1.19,16,0.06,4.19,"STL",0,0,0,1.5,21.6,0.1,"0.0",4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bruce Ellington","SF",1.2,16.8,0.2,0,4.1,NA,NA,NA,NA,NA,"SFO",0.7,8,0.05,2.7," SF",0.2,1.3,0,0.6,8.4,0.1,"0.0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calvin Johnson","DET",5.4,73.7,0.4,0.1,14.97," DET",6.3,90.3,0.6,18.9,"DET",5.82,80,0.51,25.82,"DET",0,0,0,5.9,80.9,0.6,"0.1",17.5,"DET","6",0,0,0,6.26,77.65,0.46,16.91
"Chris Givens","BAL",1.1,20.2,0.1,0,3.75," BAL",1.7,24.8,0.1,4.5,"BAL",0.56,5,0.02,2.56,"BAL",0,0.1,0,1.1,15.7,0.1,"0.0",3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chris Hogan","BUF",2,23.5,0.2,0,5.59," BUF",2.2,28.9,0.2,5.6,"BUF",1.39,14,0.12,3.39,"BUF",0,0,0,1.9,23.9,0.1,"0.0",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chris Matthews","SEA",1.7,21.3,0.1,0,4.39," SEA",0.7,10.4,0.1,2.1,"SEA",0.79,10,0.01,2.79,"SEA",0,0,0,1.2,15.3,0.1,"0.0",3.2,"SEA","98",0,0,0,1.1,14.98,0.04,2.84
"Cole Beasley","DAL",3.9,44.9,0.2,0.1,9.38," DAL",3.8,38.9,0.2,8.2,"DAL",3.25,38,0.23,10.25,"DAL",0,0,0,3.8,42.6,0.2,"0.1",9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corey Fuller","DET",1.5,20.4,0.1,0.1,3.97,NA,NA,NA,NA,NA,"DET",0.68,7,0.01,2.68,"DET",0,0,0,0.9,12.3,0.1,"0.1",2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
