"name","numfire_dkcost","cbs_fpts","espn_fpts","ffs_fpts","fftoday_fpts","fp_fpts","numfire_fpts","hodges.lehmann","mean","risk","rank","best","worst","avg","sd","Ceiling","Floor","Tier"
"Devonta Freeman",7900,20.91,23.15,20.5,NA,21.75,22.665,21.8,21.8,1,1,1,4,1.7,0.9,22.8,20.8,3
"Le'Veon Bell",8400,14.38,16.78,23.62,NA,22.15,20.677,19.5,19.5,3.4,2,1,4,2.2,1.2,22.9,16.1,3
"Adrian Peterson",7600,19.39,18.68,17.45,NA,18.66,19.296,18.7,18.7,0.7,3,2,10,5.6,1.9,19.4,18,3
"DeMarco Murray",6400,17.78,18.2,19.84,NA,11.86,13.239,15.8,16.1,3.1,4,8,31,17.2,6,19.2,13,3
"Mark Ingram",6300,11.62,18.51,20.45,NA,11.43,11.405,15,14.7,4,5,3,15,9.1,3.2,18.7,10.7,3
"Arian Foster",7500,13.62,16.13,11.19,NA,14.45,14.06,14,13.9,1.6,6,2,9,4.9,2,15.5,12.3,3
"Dion Lewis",6500,13.62,12.65,16.72,NA,11.54,10.927,12.7,13,2,7,2,17,7.2,3.6,15,11,2
"Marshawn Lynch",6900,17.46,12.67,5.65,NA,12.05,14.421,12.7,12.5,3.9,8,7,21,10.4,3.4,16.4,8.6,2
"Carlos Hyde",4600,15.53,15.51,5.62,NA,8.74,9.446,10.6,10.9,3.9,9,16,25,20.1,2.1,14.8,7,2
"Justin Forsett",6100,10.67,10.58,9.48,NA,12.32,11.696,10.9,10.9,1,10,7,20,14.3,3.8,11.9,9.9,2
"LeGarrette Blount",4800,15.09,12.5,6.04,NA,7.44,8.949,10,10,3.3,11,15,33,21.9,4.6,13.3,6.7,2
"Lamar Miller",4600,8.6,10.55,8.45,NA,10.46,11.115,9.8,9.8,1.1,12,3,31,10.1,5.9,10.9,8.7,2
"Charcandrick West",4200,8.01,9.8,10.2,NA,8.79,10.178,9.5,9.4,0.9,13,20,35,27.5,3.7,10.3,8.5,2
"Danny Woodhead",4600,8.47,11.08,9.46,NA,9.28,8.626,9.3,9.4,0.9,14,10,20,13.3,2.5,10.3,8.5,2
"Frank Gore",4900,8.65,10.82,8.19,NA,9.72,9.362,9.4,9.4,0.9,15,7,18,12.8,3.5,10.3,8.5,2
"Chris Johnson",4300,10.86,7.4,8.68,NA,8.55,10.931,9.2,9.3,1.4,16,16,37,21.5,4.9,10.7,7.9,2
"Melvin Gordon",4200,9.67,9.08,10.42,NA,7.65,8.653,9.1,9.1,0.9,17,18,46,30.6,7.2,10,8.2,2
"Ameer Abdullah",4000,8.34,8.28,8.51,NA,8.12,8.476,8.3,8.3,0.1,18,24,46,33.3,5.1,8.4,8.2,2
"Rashad Jennings",4000,8.67,7.39,5.09,NA,9.57,10.195,8.5,8.2,1.8,19,22,41,31.8,4.3,10,6.4,2
